Date,,22/02/2020,6.75,
Time,Time (s),Temperature,Temperature-atm,ln(T)
10252,0,288.9,9,2.197224577
10503,0.251,288.9,9,2.197224577
10755,0.503,288.9,9,2.197224577
11005,0.753,288.84,8.94,2.190535589
11256,1.004,288.84,8.94,2.190535589
11508,1.256,288.84,8.94,2.190535589
11759,1.507,288.78,8.88,2.183801557
12010,1.758,288.71,8.81,2.17588744
12261,2.009,288.71,8.81,2.17588744
12513,2.261,288.71,8.81,2.17588744
12764,2.512,288.71,8.81,2.17588744
13015,2.763,288.65,8.75,2.1690537
13266,3.014,288.59,8.69,2.162172939
13517,3.265,288.65,8.75,2.1690537
13768,3.516,288.59,8.69,2.162172939
14019,3.767,288.53,8.63,2.155244505
14271,4.019,288.59,8.69,2.162172939
14522,4.27,288.53,8.63,2.155244505
14773,4.521,288.46,8.56,2.14710019
15025,4.773,288.46,8.56,2.14710019
15276,5.024,288.4,8.5,2.140066163
15526,5.274,288.46,8.56,2.14710019
15777,5.525,288.4,8.5,2.140066163
16029,5.777,288.4,8.5,2.140066163
16280,6.028,288.34,8.44,2.132982309
16531,6.279,288.34,8.44,2.132982309
16783,6.531,288.28,8.38,2.125847914
17034,6.782,288.28,8.38,2.125847914
17285,7.033,288.21,8.31,2.117459609
17536,7.284,288.21,8.31,2.117459609
17787,7.535,288.21,8.31,2.117459609
18038,7.786,288.15,8.25,2.1102132
18289,8.037,288.15,8.25,2.1102132
18541,8.289,288.09,8.19,2.102913898
18792,8.54,288.09,8.19,2.102913898
19043,8.791,288.09,8.19,2.102913898
19294,9.042,288.09,8.19,2.102913898
19546,9.294,288.03,8.13,2.095560924
19796,9.544,288.03,8.13,2.095560924
20047,9.795,287.96,8.06,2.086913557
20299,10.047,287.96,8.06,2.086913557
20550,10.298,287.96,8.06,2.086913557
20801,10.549,287.9,8,2.079441542
21052,10.8,287.9,8,2.079441542
21304,11.052,287.84,7.94,2.071913275
21555,11.303,287.78,7.88,2.064327904
21806,11.554,287.84,7.94,2.071913275
22057,11.805,287.78,7.88,2.064327904
22308,12.056,287.71,7.81,2.055404964
22559,12.307,287.71,7.81,2.055404964
22810,12.558,287.71,7.81,2.055404964
23062,12.81,287.71,7.81,2.055404964
23313,13.061,287.65,7.75,2.047692843
23564,13.312,287.59,7.69,2.039920784
23816,13.564,287.59,7.69,2.039920784
24067,13.815,287.59,7.69,2.039920784
24317,14.065,287.59,7.69,2.039920784
24568,14.316,287.53,7.63,2.032087845
24820,14.568,287.46,7.56,2.02287119
25071,14.819,287.46,7.56,2.02287119
25322,15.07,287.53,7.63,2.032087845
25574,15.322,287.46,7.56,2.02287119
25825,15.573,287.4,7.5,2.014903021
26076,15.824,287.4,7.5,2.014903021
26327,16.075,287.4,7.5,2.014903021
26578,16.326,287.34,7.44,2.006870849
26829,16.577,287.34,7.44,2.006870849
27080,16.828,287.28,7.38,1.998773639
27332,17.08,287.21,7.31,1.989243274
27583,17.331,287.21,7.31,1.989243274
27834,17.582,287.28,7.38,1.998773639
28085,17.833,287.21,7.31,1.989243274
28337,18.085,287.21,7.31,1.989243274
28588,18.336,287.21,7.31,1.989243274
28838,18.586,287.15,7.25,1.981001469
29090,18.838,287.15,7.25,1.981001469
29341,19.089,287.09,7.19,1.972691172
29592,19.34,287.09,7.19,1.972691172
29843,19.591,287.09,7.19,1.972691172
30095,19.843,287.03,7.13,1.964311234
30346,20.094,286.96,7.06,1.954445052
30597,20.345,286.96,7.06,1.954445052
30849,20.597,286.96,7.06,1.954445052
31099,20.847,286.96,7.06,1.954445052
31350,21.098,286.96,7.06,1.954445052
31601,21.349,286.9,7,1.945910149
31853,21.601,286.9,7,1.945910149
32104,21.852,286.9,7,1.945910149
32355,22.103,286.9,7,1.945910149
32607,22.355,286.84,6.94,1.937301775
32858,22.606,286.78,6.88,1.928618652
33108,22.856,286.78,6.88,1.928618652
33359,23.107,286.78,6.88,1.928618652
33611,23.359,286.78,6.88,1.928618652
33862,23.61,286.78,6.88,1.928618652
34113,23.861,286.71,6.81,1.91839212
34365,24.113,286.65,6.75,1.909542505
34616,24.364,286.65,6.75,1.909542505
34867,24.615,286.65,6.75,1.909542505
35118,24.866,286.65,6.75,1.909542505
35369,25.117,286.59,6.69,1.900613874
35620,25.368,286.59,6.69,1.900613874
35871,25.619,286.53,6.63,1.891604804
36123,25.871,286.59,6.69,1.900613874
36374,26.122,286.53,6.63,1.891604804
36625,26.373,286.53,6.63,1.891604804
36876,26.624,286.53,6.63,1.891604804
37128,26.876,286.53,6.63,1.891604804
37379,27.127,286.46,6.56,1.880990603
37629,27.377,286.46,6.56,1.880990603
37881,27.629,286.46,6.56,1.880990603
38132,27.88,286.4,6.5,1.871802177
38383,28.131,286.34,6.44,1.86252854
38635,28.383,286.34,6.44,1.86252854
38886,28.634,286.34,6.44,1.86252854
39137,28.885,286.4,6.5,1.871802177
39388,29.136,286.34,6.44,1.86252854
39640,29.388,286.34,6.44,1.86252854
39890,29.638,286.28,6.38,1.853168097
40141,29.889,286.28,6.38,1.853168097
40393,30.141,286.28,6.38,1.853168097
40644,30.392,286.21,6.31,1.842135677
40895,30.643,286.21,6.31,1.842135677
41146,30.894,286.21,6.31,1.842135677
41398,31.146,286.15,6.25,1.832581464
41649,31.397,286.15,6.25,1.832581464
41900,31.648,286.09,6.19,1.822935087
42150,31.898,286.09,6.19,1.822935087
42402,32.15,286.09,6.19,1.822935087
42653,32.401,286.03,6.13,1.81319475
42904,32.652,286.03,6.13,1.81319475
43156,32.904,286.03,6.13,1.81319475
43407,33.155,286.03,6.13,1.81319475
43658,33.406,285.96,6.06,1.8017098
43910,33.658,285.96,6.06,1.8017098
44161,33.909,285.96,6.06,1.8017098
44411,34.159,285.9,6,1.791759469
44662,34.41,285.9,6,1.791759469
44914,34.662,285.9,6,1.791759469
45165,34.913,285.9,6,1.791759469
45416,35.164,285.9,6,1.791759469
45668,35.416,285.9,6,1.791759469
45919,35.667,285.84,5.94,1.781709133
46170,35.918,285.84,5.94,1.781709133
46420,36.168,285.84,5.94,1.781709133
46672,36.42,285.84,5.94,1.781709133
46923,36.671,285.78,5.88,1.771556762
47174,36.922,285.78,5.88,1.771556762
47426,37.174,285.71,5.81,1.759580571
47677,37.425,285.71,5.81,1.759580571
47928,37.676,285.71,5.81,1.759580571
48179,37.927,285.71,5.81,1.759580571
48431,38.179,285.65,5.75,1.749199855
48681,38.429,285.65,5.75,1.749199855
48932,38.68,285.65,5.75,1.749199855
49184,38.932,285.65,5.75,1.749199855
49435,39.183,285.59,5.69,1.738710248
49686,39.434,285.59,5.69,1.738710248
49937,39.685,285.59,5.69,1.738710248
50189,39.937,285.59,5.69,1.738710248
50440,40.188,285.53,5.63,1.728109442
50691,40.439,285.53,5.63,1.728109442
50942,40.69,285.53,5.63,1.728109442
51193,40.941,285.46,5.56,1.715598108
51444,41.192,285.46,5.56,1.715598108
51695,41.443,285.46,5.56,1.715598108
