Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
4252,289.15,,
4503,289.09,,
4754,289.03,,
5005,289.03,,
5257,288.96,,
5508,288.9,,
5758,288.9,,
6009,288.84,,
6261,288.9,,
6512,288.84,,
6763,288.78,,
7014,288.78,,
7266,288.71,,
7517,288.71,,
7768,288.65,,
8018,288.59,,
8270,288.59,,
8521,288.59,,
8772,288.53,,
9023,288.53,,
9275,288.46,,
9526,288.46,,
9777,288.46,,
10028,288.4,,
10279,288.34,,
10530,288.34,,
10781,288.28,,
11032,288.28,,
11284,288.21,,
11535,288.21,,
11786,288.21,,
12038,288.15,,
12289,288.15,,
12539,288.09,,
12790,288.03,,
13042,288.03,,
13293,287.96,,
13544,287.96,,
13796,287.96,,
14047,287.9,,
14298,287.84,,
14548,287.84,,
14800,287.78,,
15051,287.78,,
15302,287.78,,
15554,287.71,,
15805,287.65,,
16056,287.65,,
16307,287.59,,
16559,287.53,,
16809,287.53,,
17060,287.53,,
17312,287.53,,
17563,287.46,,
17814,287.4,,
18065,287.34,,
18317,287.4,,
18568,287.34,,
18819,287.34,,
19070,287.28,,
19321,287.28,,
19572,287.28,,
19823,287.21,,
20075,287.21,,
20326,287.15,,
20577,287.15,,
20829,287.09,,
21080,287.09,,
21330,287.03,,
21581,287.03,,
21833,286.96,,
22084,286.96,,
22335,286.9,,
22587,286.84,,
22838,286.84,,
23089,286.84,,
23340,286.84,,
23591,286.84,,
23842,286.78,,
24093,286.71,,
24345,286.71,,
24596,286.71,,
24847,286.59,,
25098,286.59,,
25350,286.59,,
25601,286.59,,
25851,286.53,,
26103,286.53,,
26354,286.53,,
26605,286.46,,
26856,286.46,,
27108,286.4,,
27359,286.46,,
27610,286.4,,
27862,286.4,,
28112,286.34,,
28363,286.28,,
28614,286.21,,
28866,286.21,,
29117,286.15,,
29368,286.09,,
29620,286.09,,
29871,286.03,,
30121,286.03,,
30372,286.03,,
30624,285.96,,
30875,285.96,,
31126,285.96,,
31378,285.96,,
31629,285.96,,
31880,285.9,,
32131,285.9,,
32382,285.9,,
32633,285.84,,
32884,285.84,,
33136,285.84,,
33387,285.78,,
33638,285.78,,
33889,285.78,,
34141,285.71,,
34392,285.71,,
34642,285.65,,
34894,285.65,,
35145,285.65,,
35396,285.65,,
35647,285.59,,
35899,285.59,,
36150,285.59,,
36401,285.53,,
36653,285.53,,
36903,285.46,,
37154,285.46,,
37406,285.4,,
37657,285.4,,
37908,285.34,,
38159,285.4,,
38411,285.34,,
38662,285.28,,
38913,285.28,,
39164,285.21,,
39415,285.21,,
39666,285.21,,
39917,285.21,,
40169,285.15,,
40420,285.15,,
40671,285.15,,
40923,285.15,,
41174,285.15,,
41424,285.09,,
41675,285.09,,
41927,285.09,,
42178,285.03,,
42429,285.03,,
42681,285.03,,
42932,284.96,,
43183,285.03,,
43433,284.96,,
43685,284.96,,
43936,284.96,,
44187,284.9,,
44439,284.9,,
44690,284.9,,
44941,284.84,,
45192,284.84,,
45444,284.78,,
45694,284.78,,
45945,284.78,,
46197,284.78,,
46448,284.71,,
46699,284.71,,
46950,284.71,,
47202,284.65,,
47453,284.65,,
47704,284.59,,
47955,284.59,,
48206,284.65,,
48457,284.65,,
48708,284.65,,
48960,284.59,,
49211,284.53,,
49462,284.53,,
49714,284.53,,
49965,284.53,,
50215,284.4,,
50466,284.46,,
50718,284.4,,
50969,284.4,,
51220,284.4,,
51472,284.34,,
51723,284.4,,
51974,284.34,,
52225,284.34,,
52476,284.34,,
52727,284.28,,
52978,284.21,,
53230,284.28,,
53481,284.21,,
53732,284.21,,
53983,284.15,,
54235,284.15,,
54486,284.21,,
54736,284.15,,
54988,284.15,,
55239,284.09,,
55490,284.09,,
55741,284.09,,
55993,284.03,,
56244,284.03,,
56495,284.03,,
56747,284.03,,
56997,283.96,,
57248,283.96,,
57499,283.9,,
57751,283.96,,
58002,283.9,,
58253,283.9,,
58505,283.9,,
58756,283.9,,
59006,283.84,,
59257,283.84,,
59509,283.84,,
59760,283.78,,
60011,283.78,,
60263,283.78,,
60514,283.78,,
60765,283.71,,
61016,283.71,,
