time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.08E-05
0,339.84,320.78,309.03,300.65,295.21,291.09,289.4,,
1.37,332.2978883,316.1650673,305.7373676,298.5130303,293.6383378,290.5001136,289.4054414,,
2.75,331.1060557,315.9216725,305.5494531,298.3960588,293.5499112,290.4766037,289.4309359,,
4.12,329.4162743,316.0044115,305.584816,298.4274362,293.5714418,290.5206175,289.4308905,,
5.49,327.2992077,316.1599258,305.683383,298.5000885,293.6258123,290.5865624,289.3787959,,
6.87,325.0220356,316.2946244,305.8019918,298.5849765,293.6912633,290.6567434,289.2807238,,
8.24,322.7946057,316.3633863,305.9258323,298.6725829,293.7600841,290.722221,289.154,,
9.61,320.6839658,316.3498008,306.0509759,298.7614177,293.8306537,290.779917,289.0117874,,
10.99,318.7079718,316.2501187,306.1751992,298.8516855,293.9027026,290.8286974,288.8626013,,
12.36,316.9010379,316.0714991,306.2936566,298.9419921,293.9747037,290.8676379,288.714752,,
13.73,315.2420688,315.8232798,306.4042298,299.0329184,294.0467651,290.8976313,288.5708343,,
15.11,313.7092981,315.5141437,306.5048102,299.1249749,294.1190259,290.9196959,288.4319372,,
16.48,312.3122462,315.1595743,306.5915857,299.2165538,294.1900903,290.9345639,288.3011393,,
17.85,311.026843,314.7675274,306.663551,299.3079363,294.2601852,290.9434931,288.1778433,,
19.23,309.8331494,314.3435968,306.7198576,299.399302,294.329563,290.9475132,288.0612857,,
20.6,308.7378898,313.9014208,306.7590281,299.4887769,294.3970225,290.9474951,287.9529836,,
21.97,307.7227102,313.444244,306.781335,299.5764417,294.4629206,290.9443005,287.8517668,,
23.35,306.7727125,312.9737629,306.7869371,299.6623146,294.5276047,290.9385871,287.7566055,,
24.72,305.894361,312.5010063,306.7762227,299.7445692,294.5900481,290.9310444,287.6684842,,
26.09,305.0741447,312.0259791,306.7499705,299.8232942,294.6506557,290.9221477,287.5862924,,
27.47,304.3010385,311.5479411,306.708652,299.8985258,294.7097906,290.9122474,287.509102,,
28.84,303.5812888,311.0759962,306.6537856,299.9687371,294.7665445,290.9018402,287.437658,,
30.21,302.904764,310.6083821,306.5860876,300.0341188,294.8213058,290.8911443,287.3710309,,
31.59,302.2631096,310.1430839,306.5059161,300.0947872,294.8744065,290.880313,287.3084548,,
32.96,301.6622017,309.6878795,306.4154113,300.1496221,294.9250326,290.8696889,287.2505297,,
34.33,301.0942287,309.2401544,306.3149818,300.1989043,294.9735333,290.8593368,287.1965029,,
35.71,300.5526766,308.7973072,306.2047086,300.24281,295.0201964,290.8492942,287.1457573,,
37.08,300.0429722,308.3661718,306.0870607,300.2806334,295.0643049,290.8397861,287.0987842,,
38.45,299.5589275,307.9437891,305.962087,300.3126906,295.1061666,290.8307919,287.0549781,,
39.83,299.0953273,307.5273471,305.8295691,300.3391706,295.1460269,290.8222843,287.0138431,,
41.2,298.6571341,307.1229681,305.6921435,300.359743,295.1832763,290.8144012,286.9757806,,
42.57,298.2393278,306.7276184,305.5495324,300.3747039,295.218185,290.8070782,286.9403022,,
43.95,297.8376361,306.3384727,305.4012552,300.3842106,295.2509594,290.8002548,286.9070073,,
45.32,297.4565771,305.9610878,305.2500248,300.3882551,295.2811068,290.7940063,286.8762208,,
46.69,297.0919941,305.5924944,305.0952978,300.3870721,295.3088615,290.78825,286.847546,,
48.07,296.7403181,305.229953,304.9363844,300.3807569,295.3343928,290.7829105,286.8206572,,
49.44,296.4056581,304.8785527,304.7760217,300.3695712,295.3573293,290.7780218,286.7958138,,
50.81,296.0845122,304.5354555,304.6134626,300.3536641,295.3778687,290.7734967,286.7726916,,
52.19,295.773849,304.1980549,304.4478602,300.3330516,295.3961435,290.7692558,286.7510239,,
53.56,295.4774085,303.871041,304.2819435,300.3082183,295.4119028,290.7653089,286.7310149,,
54.94,295.1901543,303.5494332,304.1135924,300.2789904,295.4253953,290.7615452,286.7122675,,
56.31,294.915602,303.237685,303.9455183,300.2459784,295.4364481,290.7579664,286.6949545,,
57.68,294.6510352,302.9332308,303.7767505,300.2091696,295.4451941,290.7544923,286.6788421,,
59.05,294.3959036,302.6358643,303.6075109,300.1687459,295.4516635,290.7510713,286.6638415,,
60.43,294.1479314,302.343285,303.4367629,300.1245538,295.4559123,290.7476281,286.6497702,,
61.8,293.9102358,302.0595298,303.2671642,300.0774095,295.4579155,290.7441637,286.6367513,,
63.17,293.6805476,301.7822551,303.0976425,300.0271754,295.4577509,290.740606,286.6246029,,
64.55,293.4568624,301.5093107,302.9271116,299.9736188,295.4554352,290.7368825,286.6131722,,
65.92,293.2420377,301.2444609,302.7581774,299.9176772,295.4510454,290.733004,286.6025551,,
67.29,293.0340684,300.9855194,302.5897237,299.8591283,295.4446171,290.7289035,286.5926001,,
68.67,292.8311739,300.730478,302.4206355,299.7976676,295.4361278,290.7245096,286.5831783,,
70.04,292.6359805,300.4828564,302.2534612,299.734331,295.4257482,290.7198498,286.5743663,,
71.42,292.445342,300.2388665,302.0858483,299.6683345,295.4133755,290.7148219,286.5659777,,
72.79,292.2617453,300.0018783,301.9203041,299.6007684,295.3992383,290.7094673,286.5580799,,
74.16,292.0835303,299.7699444,301.7556803,299.5312896,295.383303,290.7037219,286.5505594,,
75.53,291.9104553,299.5429101,301.5920383,299.4600203,295.3656192,290.6975589,286.5433677,,
76.91,291.7410827,299.3190203,301.4282496,299.3865389,295.3460889,290.6909041,286.5364093,,
78.28,291.5776516,299.1013744,301.2667363,299.3120224,295.325045,290.6838315,286.5297412,,
79.66,291.4175708,298.8866531,301.1051835,299.2354912,295.3022306,290.6762175,286.5232244,,
81.03,291.2629689,298.6778326,300.9459696,299.1581565,295.2780258,290.668154,286.5169143,,
82.4,291.1124896,298.4732108,300.787952,299.0795658,295.2523196,290.6595717,286.5107263,,
83.78,290.9649078,298.2712128,300.6300183,298.9992248,295.2249569,290.6503878,286.5045816,,
85.15,290.8222004,298.0746442,300.4744813,298.9183863,295.1963819,290.6407227,286.4985366,,
86.52,290.6831318,297.8819098,300.3202121,298.8365555,295.1664487,290.630501,286.4925161,,
87.89,290.5475579,297.6928966,300.1672274,298.7538117,295.1352034,290.6197138,286.4864915,,
89.27,290.4143889,297.5061557,300.0144384,298.6696173,295.1024496,290.6082681,286.4803916,,
90.64,290.2854246,297.324288,299.8640706,298.5852645,295.0687069,290.5963238,286.4742798,,
92.02,290.1586573,297.1445358,299.7139373,298.4995908,295.0335269,290.5837015,286.4680431,,
93.39,290.0358067,296.9694059,299.5662205,298.4139027,294.9974627,290.5705807,286.4617501,,
94.76,289.9158322,296.7974895,299.4198316,298.327643,294.9603055,290.5568696,286.4553359,,
96.14,289.7977826,296.6274751,299.2737189,298.2402345,294.9218135,290.5424606,286.4487334,,
97.51,289.6832677,296.4617385,299.1300005,298.1529992,294.8825848,290.5275623,286.4420211,,
98.89,289.5705186,296.2977744,298.9865774,298.0647164,294.8420865,290.5119581,286.4350848,,
100.26,289.4610777,296.1378773,298.8455256,297.9767152,294.8009437,290.4958759,286.4280104,,
101.63,289.354032,295.9807696,298.7057973,297.8884038,294.7589035,290.4792074,286.4207351,,
103.01,289.2485425,295.8252585,298.5663824,297.799179,294.7156859,290.4618281,286.4131913,,
104.38,289.1460584,295.673524,298.4292955,297.7103759,294.6719525,290.443994,286.4054773,,
105.75,289.0457317,295.5243587,298.2935148,297.6213883,294.6274275,290.4255862,286.3975293,,
107.13,288.9467807,295.3766328,298.1580558,297.5316025,294.5818109,290.4064694,286.3892778,,
108.5,288.8505701,295.2324211,298.0248735,297.4423552,294.5357964,290.3869269,286.3808344,,
109.88,288.7556285,295.0895537,297.8920143,297.3523773,294.488744,290.3666799,286.3720687,,
111.25,288.6632686,294.9500391,297.7613944,297.2630046,294.4413663,290.3460291,286.3631016,,
112.62,288.5727351,294.8127742,297.632036,297.173615,294.3933546,290.3248373,286.3538653,,
114,288.4833287,294.6767235,297.5029983,297.0835842,294.3443804,290.3029517,286.3442849,,
115.37,288.3962896,294.5438029,297.3761404,296.9942436,294.2951816,290.2806979,286.3344954,,
116.74,288.3109105,294.4129651,297.2505113,296.9049657,294.2454325,290.2579277,286.3244253,,
118.12,288.226535,294.2832253,297.1251958,296.8151232,294.1947904,290.2344782,286.3139956,,
119.49,288.144337,294.1564132,297.0019981,296.7260406,294.1440149,290.2106985,286.3033557,,
120.86,288.0636523,294.0315329,296.8799937,296.6370872,294.0927654,290.1864298,286.2924297,,
122.24,287.9838634,293.9076465,296.7582927,296.5476352,294.0406868,290.1614991,286.2811341,,
123.61,287.9060832,293.7865037,296.6386464,296.4589994,293.9885572,290.1362776,286.2696325,,
124.99,287.8291342,293.6662912,296.5192954,296.3699036,293.9356382,290.110407,286.2577572,,
126.36,287.7540916,293.5487085,296.4019566,296.2816553,293.8827185,290.0842723,286.2456812,,
127.73,287.6803546,293.4328367,296.2857483,296.1936235,293.8294371,290.0576977,286.2333206,,
129.11,287.607362,293.3178084,296.1698217,296.1051827,293.7754216,290.0304947,286.2205836,,
130.48,287.5361361,293.2052516,296.055844,296.0176281,293.7214747,290.0030678,286.2076568,,
131.86,287.4656026,293.0934851,295.9421383,295.9296944,293.6668282,289.9750269,286.1943538,,
133.23,287.3967506,292.9840921,295.8303396,295.8426678,293.6122925,289.9467888,286.1808699,,
134.6,287.3290333,292.8762218,295.7196071,295.7559214,293.5574905,289.9181619,286.1671127,,
135.98,287.261938,292.7690689,295.6091314,295.6688353,293.5020367,289.8889436,286.1529818,,
137.35,287.1964075,292.664153,295.5005008,295.5826816,293.4467515,289.8595674,286.1386855,,
138.72,287.1319235,292.56066,295.3928982,295.4968369,293.3912502,289.8298334,286.1241259,,
140.1,287.0679992,292.4578187,295.2855368,295.4106867,293.3351411,289.7995307,286.1091977,,
141.47,287.0055345,292.3570889,295.1799599,295.3254873,293.2792523,289.7691088,286.0941212,,
142.85,286.9435919,292.2569704,295.0746137,295.2400024,293.222783,289.7381338,286.0786806,,
144.22,286.8830444,292.1588855,294.9710124,295.1554776,293.1665657,289.7070646,286.063104,,
145.59,286.823416,292.0620762,294.8683769,295.0712985,293.1102053,289.6756878,286.0472849,,
146.97,286.7642585,291.9658226,294.7659563,294.9868603,293.0533024,289.6437809,286.0311096,,
148.34,286.706407,291.8714934,294.665223,294.903392,292.9966943,289.6118163,286.0148174,,
149.72,286.6489954,291.7776858,294.5646942,294.8196802,292.9395673,289.579337,285.9981751,,
151.09,286.5928349,291.6857345,294.4658151,294.7369427,292.8827612,289.5468234,285.981429,,
152.46,286.5374866,291.5949314,294.3678422,294.6545756,292.8258739,289.5140504,285.9644641,,
153.84,286.4825359,291.5046028,294.2700586,294.5719856,292.7685006,289.4807855,285.9471592,,
155.21,286.4287603,291.416035,294.1738701,294.4903731,292.7114836,289.44752,285.9297701,,
156.58,286.3757408,291.3285473,294.0785535,294.4091414,292.6544177,289.4140228,285.9121774,,
157.96,286.3230811,291.2414913,293.9834115,294.3277047,292.5968962,289.3800559,285.8942555,,
159.33,286.2715272,291.1561078,293.8898118,294.2472457,292.5397624,289.3461205,285.8762693,,
160.71,286.2203099,291.0711295,293.7963771,294.1665922,292.4821916,289.31173,285.8579614,,
162.08,286.1701556,290.9877683,293.7044507,294.0869151,292.4250276,289.2773914,285.8396024,,
163.45,286.1206752,290.9053855,293.6133419,294.0076302,292.3678617,289.2428646,285.8210653,,
164.83,286.0714999,290.8233716,293.5223842,293.9281649,292.3102854,289.207904,285.8022182,,
166.2,286.0233277,290.7428967,293.4328854,293.8496719,292.2531413,289.1730244,285.7833393,,
167.57,285.975786,290.6633455,293.3441735,293.7715754,292.19602,289.1379811,285.7642978,,
168.95,285.9285208,290.5841299,293.2555992,293.6933104,292.1385125,289.1025246,285.744958,,
170.32,285.882204,290.506381,293.1684366,293.616012,292.0814597,289.0671765,285.7256054,,
171.69,285.836478,290.4295051,293.082031,293.5391123,292.0244519,289.0316879,285.7061053,,
173.07,285.7910029,290.3529345,292.9957506,293.4620548,291.9670804,288.995806,285.6863189,,
174.44,285.7464257,290.2777632,292.9108363,293.3859564,291.9101833,288.960058,285.6665379,,
175.82,285.7020838,290.2028785,292.8260389,293.3097065,291.8529365,288.9239293,285.6464784,,
177.19,285.6586082,290.1293507,292.7425783,293.2344101,291.7961759,288.8879508,285.6264362,,
178.56,285.6156647,290.0566198,292.6598283,293.159513,291.7394923,288.8518678,285.6062711,,
179.94,285.5729348,289.9841494,292.5771837,293.0844728,291.6824787,288.8154228,285.5858394,,
181.31,285.5310272,289.912976,292.4958334,293.0103765,291.625967,288.7791505,285.565442,,
182.69,285.4893199,289.8420469,292.4145812,292.9361421,291.5691375,288.7425281,285.5447857,,
184.06,285.4484073,289.772377,292.3345961,292.8628448,291.5128191,288.7060927,285.5241746,,
185.43,285.407976,289.7034367,292.2552784,292.7899446,291.4566046,288.6695854,285.5034638,,
186.81,285.3677264,289.6347184,292.1760482,292.716913,291.4000897,288.6327452,285.4825058,,
188.18,285.328233,289.5672056,292.0980457,292.6448076,291.3440981,288.596112,285.4616085,,
189.55,285.2891934,289.5003861,292.0206863,292.5730968,291.2882243,288.5594248,285.4406248,,
190.93,285.250319,289.4337679,291.9434045,292.5012605,291.2320661,288.5224211,285.4194049,,
192.3,285.2121648,289.3683051,291.8673125,292.4303387,291.1764416,288.4856428,285.3982607,,
193.68,285.1741654,289.3030308,291.7912919,292.3592951,291.1205428,288.4485584,285.3768875,,
195.05,285.1368637,289.2388803,291.7164368,292.2891579,291.0651837,288.4117109,285.3555993,,
196.42,285.0999749,289.1753676,291.6421867,292.2194099,291.0099624,288.3748367,285.3342454,,
197.8,285.0632268,289.1120257,291.5679991,292.1495448,290.954481,288.3376717,285.3126732,,
199.17,285.0271445,289.0497625,291.4949419,292.0805738,290.899547,288.3007593,285.2911992,,
200.54,284.9914532,288.9881067,291.4224684,292.011988,290.8447611,288.2638353,285.2696712,,
201.92,284.9558895,288.9266055,291.3500489,291.9432894,290.7897283,288.2266348,285.2479352,,
203.29,284.920962,288.8661406,291.2787262,291.8754722,290.7352492,288.1897015,285.2263098,,
204.67,284.8861541,288.80582,291.2074523,291.8075449,290.6805314,288.1525008,285.2044829,,
206.04,284.8519638,288.7465088,291.1372535,291.7404904,290.6263709,288.1155764,285.1827746,,
207.41,284.8181312,288.6877592,291.0676049,291.6738135,290.5723732,288.0786628,285.1610301,,
208.79,284.784407,288.6291397,290.9979977,291.6070301,290.5181486,288.0414951,285.1390937,,
210.16,284.751274,288.5714915,290.9294343,291.5411065,290.4644854,288.0046159,285.1172868,,
211.53,284.7184808,288.5143796,290.8614022,291.4755557,290.4109925,287.9677599,285.0954537,,
212.91,284.6857857,288.4573847,290.7934046,291.4099016,290.3572836,287.9306621,285.073438,,
214.28,284.6536572,288.4013251,290.7264208,291.345094,290.3041394,287.8938641,285.0515618,,
215.66,284.6216206,288.3453746,290.6594671,291.2801852,290.2507861,287.8568322,285.0295089,,
217.03,284.5901349,288.2903363,290.5935079,291.2161141,290.1979989,287.8201069,285.0076018,,
218.4,284.5589615,288.2357957,290.5280507,291.1524072,290.1453925,287.7834231,284.9856838,,
219.78,284.5278714,288.1813529,290.4626173,291.0886019,290.0925869,287.7465169,284.9635975,,
221.15,284.4973099,288.1277897,290.3981506,291.0256211,290.0403489,287.7099265,284.9416659,,
222.53,284.4668262,288.0743171,290.3337039,290.9625434,289.9879178,287.673121,284.9195716,,
223.9,284.4368572,288.0217034,290.2702059,290.9002814,289.936055,287.6366369,284.8976374,,
225.27,284.4071764,287.9695526,290.2071826,290.8383748,289.8843813,287.6002103,284.8757058,,
226.65,284.3775656,287.9174827,290.1441739,290.7763738,289.8325233,287.563579,284.8536193,,
228.02,284.3484497,287.8662418,290.0820878,290.7151752,289.7812338,287.5272767,284.8317005,,
229.39,284.3196086,287.8154448,290.0204612,290.6543266,289.7301375,287.4910404,284.8097917,,
230.77,284.2908306,287.7647196,289.9588441,290.5933859,289.6788651,287.4546093,284.7877355,,
232.14,284.2625287,287.7147952,289.8981247,290.5332344,289.6281606,287.4185138,284.7658538,,
233.51,284.2344893,287.6652967,289.83785,290.4734274,289.5776531,287.3824922,284.743989,,
234.89,284.2065067,287.6158617,289.7775804,290.4135304,289.5269769,287.346285,284.721984,,
236.26,284.1789824,287.5672008,289.7181844,290.3544095,289.4768676,287.3104192,284.7001596,,
237.64,284.1515109,287.5185982,289.6587905,290.2951998,289.4265945,287.2743737,284.6781994,,
239.01,284.1244865,287.4707527,289.6002548,290.2367577,289.3768872,287.238673,284.6564238,,
