time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.81E-05
0,316.15,302.02,294.84,290.46,287.9,286.34,285.21,,
1.37,310.6259783,299.2279445,293.1359739,289.4641352,287.2930634,285.9002876,285.2127531,,
2.75,309.8851772,299.0754418,293.0327623,289.404975,287.2557213,285.8733405,285.230699,,
4.12,308.991767,299.151467,293.0591498,289.4226369,287.2633682,285.881029,285.2516492,,
5.5,307.8780269,299.29415,293.1273664,289.464935,287.2849744,285.900914,285.2643484,,
6.87,306.6877006,299.4366244,293.2091742,289.51471,287.3109406,285.9246907,285.2673537,,
8.24,305.5038306,299.5502194,293.2963626,289.5669694,287.3386614,285.9492663,285.2631148,,
9.62,304.3652697,299.6222497,293.3865948,289.6205457,287.3676173,285.9734411,285.2541586,,
10.99,303.3084859,299.647823,293.4768964,289.6742492,287.3971955,285.9962654,285.2426483,,
12.36,302.3304959,299.6290286,293.56639,289.7283876,287.4275238,286.0176947,285.2299268,,
13.74,301.4234484,299.5694249,293.6541169,289.7833579,287.4587595,286.0378457,285.2168115,,
15.11,300.5957012,299.4751964,293.7372479,289.8383498,287.4903705,286.0565109,285.2040713,,
16.49,299.8291001,299.3505797,293.8155817,289.8941096,287.5227346,286.0741045,285.1918762,,
17.86,299.1285237,299.2026689,293.8868218,289.9497209,287.5553032,286.0905348,285.1806074,,
19.23,298.4822474,299.0354072,293.9506774,290.0054274,287.588236,286.1060992,285.1702819,,
20.61,297.8806072,298.8515663,294.0069194,290.0614316,287.6217111,286.1210622,285.1608819,,
21.98,297.3273561,298.6573832,294.0543742,290.1166859,287.6551838,286.1353529,285.1525515,,
23.36,296.8099438,298.4530643,294.0935917,290.1717385,287.6890875,286.1493117,285.1451528,,
24.73,296.3319409,298.2440821,294.1240395,290.2255283,287.7228788,286.1628503,285.1387624,,
26.1,295.8860074,298.0310482,294.1462074,290.2781977,287.7567518,286.1761693,285.1332846,,
27.48,295.4661496,297.8140814,294.1604488,290.3298685,287.7909025,286.189448,285.1286463,,
28.85,295.0757401,297.5977191,294.1669133,290.3795615,287.8247829,286.2025645,285.1248707,,
30.22,294.7092488,297.3815187,294.1661375,290.4274502,287.8585855,286.2156736,285.1218773,,
31.6,294.3621197,297.164822,294.1584778,290.473681,287.8924989,286.228919,285.11961,,
32.97,294.0374932,296.951499,294.1444992,290.5174288,287.9259729,286.2421466,285.1180611,,
34.34,293.7311035,296.7405502,294.1246251,290.5589084,287.9591943,286.2554813,285.1171729,,
35.72,293.4394006,296.5309201,294.0991015,290.598295,287.9923422,286.2690432,285.1169095,,
37.09,293.1652671,296.3259992,294.0687388,290.6349402,288.024876,286.2826505,285.1172405,,
38.47,292.9034829,296.1230665,294.0335217,290.6693241,288.0572108,286.2965104,285.118138,,
