Date,01/02/2020,Material,Brass
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0.0,285.46,285.4,285.21,285.59,285.59,285.78,285.9,284.78
1.373,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.84
2.748,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
4.121,285.46,285.4,285.28,285.65,285.59,285.78,285.9,284.78
5.495,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.78
6.868,285.71,285.4,285.21,285.65,285.59,285.78,285.9,284.84
8.242,286.21,285.4,285.21,285.59,285.65,285.78,285.9,284.84
9.616,286.46,285.4,285.21,285.65,285.59,285.78,285.9,284.78
10.99,286.71,285.46,285.28,285.65,285.65,285.78,285.9,284.84
12.363,287.09,285.4,285.21,285.59,285.65,285.78,285.9,284.78
13.737,287.46,285.46,285.21,285.59,285.65,285.78,285.9,284.84
15.11,288.53,285.46,285.21,285.65,285.59,285.78,285.9,284.9
16.485,288.4,285.46,285.21,285.65,285.65,285.71,285.9,284.84
17.858,288.34,285.53,285.21,285.59,285.59,285.78,285.9,284.84
19.232,288.53,285.46,285.15,285.59,285.59,285.71,285.9,284.84
20.605,288.53,285.53,285.21,285.59,285.53,285.71,285.84,284.84
21.979,288.53,285.46,285.15,285.59,285.59,285.71,285.84,284.78
23.353,288.59,285.53,285.15,285.53,285.53,285.71,285.84,284.78
24.727,288.84,285.53,285.21,285.59,285.53,285.71,285.78,284.78
26.101,288.9,285.59,285.21,285.53,285.53,285.65,285.78,284.78
27.474,289.03,285.59,285.21,285.53,285.46,285.71,285.78,284.78
28.848,289.09,285.65,285.21,285.46,285.53,285.65,285.78,284.71
30.222,289.71,285.65,285.21,285.53,285.53,285.65,285.78,284.78
31.596,290.27,285.65,285.21,285.46,285.46,285.71,285.71,284.78
32.969,290.65,285.71,285.34,285.53,285.4,285.65,285.71,284.78
34.343,290.84,285.78,285.28,285.46,285.46,285.65,285.65,284.78
35.716,291.09,285.84,285.28,285.53,285.46,285.65,285.65,284.78
37.091,291.27,285.9,285.28,285.46,285.46,285.59,285.71,284.78
38.465,291.59,285.96,285.28,285.46,285.46,285.65,285.71,284.84
39.838,291.77,286.03,285.28,285.46,285.46,285.59,285.65,284.78
41.212,291.9,286.03,285.28,285.46,285.4,285.65,285.71,284.84
42.585,291.96,286.09,285.28,285.46,285.46,285.65,285.71,284.84
43.96,292.21,286.15,285.28,285.46,285.46,285.65,285.71,284.84
45.333,292.34,286.21,285.28,285.46,285.4,285.65,285.65,284.84
46.707,292.59,286.28,285.28,285.46,285.4,285.65,285.65,284.84
48.08,293.02,286.34,285.34,285.46,285.4,285.59,285.65,284.84
49.454,293.71,286.4,285.34,285.46,285.4,285.59,285.59,284.78
50.829,294.46,286.46,285.4,285.46,285.46,285.59,285.59,284.84
52.202,295.02,286.59,285.34,285.53,285.46,285.59,285.59,284.84
53.576,295.77,286.65,285.4,285.46,285.4,285.59,285.65,284.84
54.949,296.34,286.71,285.34,285.53,285.46,285.59,285.59,284.9
56.323,296.9,286.78,285.46,285.59,285.46,285.65,285.65,284.84
57.697,297.71,286.9,285.46,285.53,285.4,285.65,285.65,284.78
59.071,298.65,286.96,285.53,285.59,285.46,285.65,285.59,284.9
60.444,299.27,287.09,285.53,285.65,285.46,285.65,285.59,284.9
61.818,300.09,287.21,285.59,285.59,285.46,285.59,285.59,284.84
63.191,300.59,287.34,285.53,285.59,285.46,285.65,285.59,284.84
64.566,301.02,287.4,285.53,285.59,285.46,285.65,285.59,284.84
65.94,301.59,287.53,285.53,285.59,285.46,285.59,285.59,284.84
67.313,301.9,287.71,285.59,285.65,285.46,285.59,285.59,284.84
68.687,302.46,287.78,285.84,285.59,285.46,285.59,285.53,284.78
70.06,303.52,288.03,285.84,285.65,285.46,285.65,285.53,284.84
71.435,304.09,288.09,285.71,285.65,285.46,285.59,285.53,284.78
72.808,304.65,288.28,285.78,285.71,285.46,285.59,285.59,284.78
74.182,305.09,288.4,285.78,285.71,285.46,285.65,285.59,284.78
75.555,305.71,288.65,285.78,285.71,285.46,285.59,285.59,284.84
76.929,306.15,288.78,285.9,285.65,285.53,285.59,285.59,284.78
78.304,306.53,288.96,285.84,285.71,285.46,285.59,285.53,284.78
79.677,306.84,289.09,285.9,285.71,285.46,285.59,285.53,284.78
81.051,307.03,289.27,285.96,285.71,285.53,285.59,285.59,284.78
82.424,307.21,289.34,285.9,285.78,285.46,285.65,285.59,284.78
83.798,307.4,289.52,285.84,285.71,285.46,285.59,285.53,284.78
85.171,307.59,289.65,285.9,285.71,285.46,285.59,285.46,284.84
86.546,307.78,289.77,285.96,285.84,285.46,285.65,285.53,284.78
87.92,307.9,289.96,285.9,285.78,285.46,285.59,285.53,284.78
89.294,307.96,290.02,285.96,285.78,285.53,285.59,285.46,284.78
90.668,308.09,290.21,285.96,285.78,285.46,285.59,285.46,284.78
92.042,308.15,290.34,286.03,285.78,285.53,285.59,285.53,284.84
93.416,308.28,290.52,285.96,285.84,285.46,285.59,285.53,284.78
94.79,308.4,290.59,286.03,285.84,285.53,285.59,285.46,284.78
96.164,308.46,290.77,286.09,285.84,285.46,285.53,285.53,284.78
97.538,308.59,290.9,286.09,285.9,285.46,285.59,285.46,284.78
98.913,308.65,291.09,286.09,285.9,285.4,285.59,285.46,284.78
100.287,308.84,291.21,286.03,285.84,285.53,285.59,285.46,284.78
101.661,309.09,291.27,286.03,285.9,285.46,285.59,285.46,284.78
103.035,309.28,291.46,285.96,285.96,285.46,285.59,285.46,284.84
104.409,309.46,291.59,286.09,285.9,285.46,285.59,285.46,284.84
105.784,309.59,291.71,286.09,285.96,285.53,285.59,285.46,284.84
107.158,309.65,291.9,286.03,286.03,285.53,285.59,285.46,284.84
108.532,309.46,292.02,286.09,286.03,285.53,285.59,285.46,284.84
109.906,309.4,291.96,286.15,286.03,285.59,285.59,285.46,284.9
111.28,308.53,291.9,286.15,286.03,285.53,285.59,285.53,284.9
112.655,307.71,291.9,286.15,286.09,285.59,285.59,285.46,284.84
114.029,307.34,291.96,286.15,286.09,285.53,285.65,285.46,284.84
115.403,307.28,292.02,286.15,286.15,285.59,285.65,285.53,284.84
116.777,306.9,292.02,286.15,286.15,285.59,285.65,285.46,284.84
118.151,307.15,292.09,286.28,286.15,285.53,285.59,285.46,284.84
119.526,307.34,292.15,286.21,286.21,285.59,285.65,285.46,284.9
120.9,307.53,292.21,286.28,286.21,285.59,285.65,285.46,284.9
122.273,307.84,292.27,286.28,286.28,285.59,285.65,285.46,284.9
123.647,308.09,292.34,286.34,286.28,285.59,285.65,285.46,284.9
125.021,308.65,292.46,286.4,286.28,285.59,285.59,285.46,284.9
126.396,309.21,292.52,286.4,286.34,285.65,285.65,285.46,284.9
127.77,310.03,292.59,286.4,286.34,285.59,285.59,285.4,284.84
129.144,311.21,292.65,286.4,286.4,285.59,285.65,285.4,284.9
130.518,312.09,292.71,286.46,286.46,285.65,285.65,285.46,284.84
131.893,313.09,292.84,286.53,286.4,285.65,285.65,285.46,284.9
133.267,313.78,292.9,286.59,286.46,285.65,285.65,285.46,284.9
134.641,314.53,293.02,286.59,286.53,285.71,285.65,285.4,284.96
136.015,315.21,293.09,286.59,286.53,285.71,285.71,285.46,284.96
137.389,315.65,293.21,286.71,286.53,285.71,285.65,285.46,285.03
138.764,315.9,293.27,286.71,286.59,285.71,285.65,285.46,284.96
140.138,316.09,293.34,286.71,286.65,285.71,285.71,285.46,284.96
141.512,316.15,293.46,286.71,286.65,285.71,285.65,285.46,284.96
142.886,315.9,293.59,286.71,286.65,285.71,285.71,285.46,285.03
144.26,315.71,293.59,286.71,286.71,285.78,285.71,285.46,285.03
145.635,314.84,293.59,286.65,286.65,285.71,285.65,285.46,285.03
147.009,314.9,293.65,286.71,286.71,285.78,285.65,285.46,284.96
148.383,314.59,293.71,286.71,286.71,285.71,285.65,285.4,284.96
149.757,313.9,293.77,286.65,286.71,285.78,285.71,285.46,284.96
151.131,313.78,293.84,286.71,286.71,285.71,285.65,285.4,284.96
152.506,313.4,293.84,286.71,286.71,285.71,285.65,285.46,284.96
153.88,313.09,293.9,286.78,286.71,285.78,285.65,285.46,284.96
155.254,312.71,293.9,286.78,286.71,285.78,285.65,285.34,284.96
156.628,312.4,293.96,286.71,286.78,285.71,285.59,285.4,284.96
158.002,312.03,294.02,286.71,286.78,285.71,285.65,285.4,284.96
159.377,311.53,294.02,286.71,286.71,285.71,285.65,285.4,284.96
160.751,311.15,294.02,286.71,286.71,285.71,285.59,285.4,284.9
162.125,310.78,294.02,286.71,286.71,285.71,285.59,285.34,284.96
163.499,310.4,294.02,286.71,286.78,285.71,285.59,285.4,284.9
164.874,310.15,294.09,286.84,286.78,285.71,285.65,285.4,284.96
166.248,309.84,294.09,286.78,286.78,285.65,285.53,285.4,284.9
167.622,309.84,294.15,286.78,286.78,285.71,285.59,285.34,284.9
168.996,309.71,294.15,286.78,286.84,285.71,285.59,285.34,284.9
170.37,309.65,294.21,286.78,286.84,285.71,285.59,285.34,284.96
171.745,309.71,294.21,286.78,286.78,285.71,285.59,285.34,284.96
173.118,309.59,294.27,286.78,286.78,285.65,285.53,285.34,284.96
174.492,309.59,294.27,286.78,286.84,285.71,285.59,285.34,284.96
175.866,309.59,294.27,286.84,286.9,285.71,285.53,285.34,284.9
177.24,309.71,294.4,286.84,286.84,285.71,285.59,285.34,284.96
178.615,309.78,294.4,286.84,286.84,285.71,285.59,285.34,284.96
179.989,309.9,294.4,286.9,286.9,285.78,285.53,285.34,284.96
181.363,309.9,294.46,286.9,286.96,285.71,285.53,285.34,284.96
182.737,310.03,294.52,286.9,286.9,285.78,285.53,285.34,284.96
184.111,310.28,294.59,286.96,286.9,285.71,285.59,285.34,284.9
185.486,310.4,294.65,286.96,286.96,285.78,285.53,285.34,284.96
186.86,310.71,294.65,287.03,286.96,285.78,285.53,285.34,284.9
188.234,310.84,294.71,286.96,286.96,285.78,285.59,285.34,284.96
189.608,311.21,294.71,286.96,286.96,285.78,285.53,285.34,284.96
190.982,311.53,294.71,286.96,286.96,285.78,285.59,285.28,284.96
192.357,311.84,294.84,286.96,287.03,285.71,285.53,285.34,284.96
193.731,312.09,294.9,286.96,287.03,285.71,285.53,285.34,284.96
195.105,312.53,294.9,286.96,287.03,285.71,285.53,285.28,284.9
