Date,20/02/2020,Material,Aluminum
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0.0,318.46,307.53,301.09,294.96,291.65,289.65,288.03,282.21
1.373,318.34,307.65,301.21,295.02,291.65,289.65,288.09,282.28
2.747,318.28,307.71,301.27,295.09,291.71,289.59,288.03,282.28
4.12,318.28,307.78,301.4,295.15,291.71,289.65,288.09,282.28
5.493,318.15,307.78,301.46,295.21,291.77,289.65,288.03,282.21
6.866,318.03,307.84,301.46,295.27,291.77,289.71,288.03,282.21
8.239,317.96,307.9,301.59,295.27,291.84,289.65,288.09,282.21
9.613,317.84,307.9,301.59,295.4,291.84,289.71,288.09,282.21
10.986,317.78,307.9,301.71,295.4,291.9,289.71,288.03,282.21
12.36,317.65,307.9,301.77,295.52,291.9,289.71,288.03,282.21
13.733,317.53,307.9,301.77,295.52,291.9,289.71,288.09,282.21
15.106,317.4,307.9,301.84,295.59,291.9,289.71,288.09,282.21
16.48,317.28,307.84,301.9,295.52,291.96,289.77,288.09,282.21
17.853,317.15,307.84,301.9,295.59,291.96,289.71,288.15,282.28
19.226,316.96,307.84,301.9,295.65,292.02,289.77,288.21,282.15
20.599,316.84,307.78,301.96,295.71,292.02,289.77,288.21,282.21
21.972,316.65,307.71,301.9,295.77,292.09,289.77,288.15,282.21
23.345,316.46,307.71,301.96,295.84,292.09,289.77,288.21,282.15
24.719,316.28,307.65,301.9,295.77,292.09,289.77,288.21,282.15
26.092,316.15,307.65,301.96,295.84,292.15,289.84,288.28,282.09
27.465,315.9,307.59,301.9,295.84,292.15,289.84,288.28,282.15
28.839,315.65,307.53,301.9,295.9,292.15,289.9,288.28,282.15
30.212,315.53,307.4,301.9,295.9,292.15,289.84,288.28,282.09
31.586,315.34,307.4,301.84,295.96,292.21,289.9,288.28,282.09
32.959,315.15,307.28,301.77,295.96,292.21,289.9,288.34,282.15
34.332,314.9,307.28,301.77,295.96,292.27,289.9,288.28,282.09
35.705,314.71,307.15,301.77,295.96,292.21,289.96,288.34,282.15
37.078,314.53,307.03,301.77,296.02,292.27,289.9,288.34,282.09
38.453,314.34,306.96,301.65,296.02,292.34,289.96,288.34,282.09
39.826,314.03,306.84,301.59,296.02,292.34,289.96,288.34,282.15
41.199,313.9,306.71,301.59,296.02,292.34,290.02,288.4,282.03
42.572,313.71,306.65,301.52,296.02,292.34,289.96,288.46,282.09
43.945,313.46,306.53,301.52,296.02,292.4,290.02,288.4,282.03
45.318,313.28,306.46,301.46,296.09,292.4,290.02,288.4,282.03
46.693,313.09,306.34,301.46,296.02,292.4,290.02,288.46,282.03
48.066,312.9,306.21,301.4,296.09,292.4,290.02,288.46,282.09
49.439,312.59,306.15,301.34,296.09,292.46,290.02,288.53,282.03
50.812,312.4,306.03,301.27,296.02,292.46,290.02,288.46,282.09
52.185,312.21,305.9,301.21,296.02,292.46,290.02,288.46,282.09
53.559,312.03,305.84,301.15,296.02,292.4,290.02,288.53,282.09
54.933,311.84,305.71,301.09,296.02,292.46,290.02,288.53,282.09
56.306,311.59,305.59,301.02,296.02,292.46,290.02,288.53,282.09
57.679,311.4,305.46,300.96,295.96,292.52,290.09,288.59,282.09
59.052,311.21,305.4,300.96,296.02,292.52,290.09,288.59,282.09
