Date,20/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
10.987,309.59,300.27,294.77,290.02,287.9,286.34,285.46,281.53
12.36,309.53,300.4,294.84,290.02,287.9,286.34,285.46,281.53
13.733,309.46,300.46,294.9,290.02,287.9,286.34,285.46,281.53
15.106,309.46,300.46,295.02,290.15,287.96,286.34,285.53,281.59
16.481,309.4,300.52,295.09,290.21,287.96,286.4,285.53,281.53
17.854,309.34,300.59,295.15,290.21,288.03,286.4,285.53,281.59
19.227,309.28,300.65,295.21,290.27,288.03,286.46,285.53,281.53
20.6,309.21,300.71,295.27,290.34,288.09,286.4,285.53,281.46
21.973,309.15,300.65,295.34,290.4,288.09,286.4,285.53,281.53
23.346,309.09,300.71,295.34,290.4,288.15,286.46,285.53,281.53
24.72,308.96,300.71,295.4,290.46,288.15,286.46,285.53,281.46
26.093,308.9,300.71,295.46,290.52,288.15,286.46,285.59,281.46
27.467,308.78,300.77,295.52,290.59,288.21,286.53,285.59,281.46
28.84,308.65,300.77,295.52,290.65,288.28,286.53,285.59,281.53
30.213,308.59,300.77,295.59,290.65,288.34,286.53,285.65,281.46
31.587,308.53,300.77,295.59,290.71,288.34,286.59,285.59,281.53
32.96,308.4,300.84,295.65,290.77,288.34,286.53,285.65,281.53
34.333,308.28,300.77,295.65,290.77,288.4,286.59,285.65,281.46
35.706,308.15,300.77,295.65,290.84,288.4,286.59,285.65,281.46
37.079,308.03,300.77,295.71,290.9,288.46,286.59,285.71,281.53
38.454,307.9,300.77,295.71,290.96,288.46,286.65,285.65,281.46
39.827,307.71,300.65,295.71,290.9,288.46,286.65,285.71,281.46
41.2,307.59,300.65,295.71,290.96,288.46,286.65,285.71,281.53
42.573,307.46,300.65,295.77,291.02,288.46,286.71,285.78,281.53
43.946,307.34,300.59,295.71,291.02,288.46,286.71,285.78,281.46
45.32,307.21,300.59,295.71,291.09,288.46,286.78,285.78,281.46
46.694,307.09,300.52,295.77,291.09,288.46,286.71,285.78,281.53
48.067,306.9,300.46,295.77,291.09,288.53,286.78,285.78,281.46
49.44,306.84,300.46,295.71,291.15,288.53,286.78,285.78,281.46
50.813,306.71,300.4,295.65,291.15,288.59,286.78,285.78,281.46
52.186,306.53,300.27,295.65,291.15,288.53,286.78,285.84,281.46
53.561,306.4,300.27,295.65,291.21,288.59,286.78,285.84,281.46
54.934,306.28,300.21,295.59,291.21,288.59,286.84,285.78,281.46
56.307,306.09,300.09,295.59,291.21,288.65,286.84,285.84,281.4
57.68,305.9,300.02,295.52,291.21,288.65,286.9,285.84,281.53
59.053,305.84,299.96,295.52,291.27,288.65,286.84,285.9,281.46
60.427,305.65,299.9,295.52,291.34,288.65,286.9,285.84,281.46
61.8,305.46,299.84,295.52,291.27,288.65,286.9,285.9,281.46
