Date,21/02/2020,Material,Brass
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0.0,326.09,306.96,296.65,290.96,287.71,286.15,285.09,283.34
1.373,326.09,307.03,296.71,291.02,287.78,286.21,285.09,283.34
2.748,326.09,307.15,296.77,291.02,287.78,286.15,285.09,283.28
4.121,326.03,307.28,296.84,291.02,287.78,286.15,285.09,283.34
5.495,325.9,307.28,296.96,291.09,287.78,286.21,285.15,283.28
6.868,325.84,307.4,297.02,291.09,287.78,286.21,285.15,283.34
8.242,325.78,307.46,297.02,291.15,287.84,286.21,285.15,283.34
9.616,325.59,307.53,297.09,291.21,287.84,286.28,285.15,283.34
10.989,325.53,307.59,297.15,291.27,287.84,286.28,285.15,283.28
12.363,325.4,307.71,297.27,291.27,287.9,286.28,285.15,283.28
13.737,325.34,307.71,297.34,291.27,287.9,286.28,285.15,283.28
15.11,325.21,307.78,297.34,291.34,287.9,286.28,285.15,283.34
16.485,325.09,307.84,297.4,291.4,287.96,286.28,285.15,283.28
17.858,324.96,307.9,297.52,291.4,287.96,286.28,285.15,283.28
19.232,324.78,307.9,297.59,291.46,288.03,286.34,285.21,283.28
20.605,324.71,307.9,297.59,291.52,287.96,286.34,285.15,283.28
21.979,324.53,307.96,297.65,291.59,287.96,286.28,285.15,283.28
23.353,324.46,308.03,297.71,291.59,288.03,286.34,285.15,283.34
24.727,324.21,308.03,297.77,291.59,288.03,286.28,285.15,283.28
26.1,324.03,308.03,297.84,291.65,288.09,286.34,285.15,283.34
27.474,323.9,308.03,297.84,291.65,288.09,286.34,285.21,283.34
28.848,323.71,308.03,297.9,291.77,288.09,286.34,285.15,283.34
30.222,323.53,308.03,297.9,291.77,288.09,286.34,285.21,283.28
31.596,323.34,308.03,297.96,291.84,288.15,286.34,285.21,283.28
32.969,323.15,308.03,298.02,291.84,288.09,286.34,285.21,283.34
34.343,322.96,308.03,298.09,291.84,288.21,286.4,285.21,283.34
35.716,322.71,307.96,298.09,291.9,288.21,286.4,285.21,283.34
37.091,322.59,307.96,298.09,291.96,288.21,286.4,285.21,283.28
38.464,322.28,307.96,298.15,291.96,288.21,286.4,285.21,283.28
39.838,322.09,307.96,298.15,292.02,288.21,286.4,285.21,283.34
