Date,21/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0,309.21,298.21,291.84,287.96,285.65,284.78,284.15,283.15
1.373,309.09,298.21,291.84,287.96,285.78,284.84,284.09,283.15
2.747,309.03,298.27,291.9,288.03,285.78,284.84,284.09,283.15
4.121,308.9,298.27,291.96,288.09,285.78,284.9,284.15,283.21
5.494,308.78,298.27,291.96,288.09,285.78,284.9,284.09,283.21
6.868,308.71,298.27,292.02,288.09,285.78,284.9,284.15,283.15
8.241,308.59,298.27,292.02,288.03,285.78,284.9,284.15,283.21
9.616,308.53,298.34,292.09,288.03,285.84,284.9,284.15,283.15
10.989,308.46,298.34,292.09,288.09,285.84,284.9,284.15,283.21
12.363,308.34,298.34,292.15,288.09,285.84,284.9,284.15,283.21
13.736,308.21,298.34,292.15,288.09,285.9,284.9,284.15,283.15
15.109,308.09,298.34,292.21,288.15,285.9,284.9,284.15,283.21
16.484,308.03,298.34,292.21,288.15,285.9,284.96,284.15,283.15
17.857,307.84,298.34,292.21,288.21,285.9,284.9,284.21,283.15
19.231,307.78,298.34,292.27,288.21,285.9,284.96,284.15,283.21
20.604,307.65,298.27,292.27,288.28,285.96,284.96,284.21,283.15
21.978,307.53,298.27,292.27,288.28,285.96,284.96,284.21,283.21
23.352,307.4,298.27,292.27,288.34,285.96,284.96,284.21,283.21
24.726,307.28,298.27,292.34,288.34,285.96,285.03,284.21,283.15
26.099,307.09,298.21,292.4,288.34,286.03,285.03,284.15,283.21
27.472,307.03,298.21,292.4,288.34,286.03,284.96,284.21,283.21
28.846,306.84,298.21,292.4,288.4,286.03,285.03,284.21,283.21
30.22,306.71,298.15,292.34,288.4,286.09,285.03,284.21,283.21
31.594,306.59,298.15,292.4,288.46,286.09,285.09,284.28,283.21
32.967,306.46,298.09,292.4,288.53,286.09,285.03,284.21,283.21
34.341,306.34,298.09,292.4,288.53,286.09,285.09,284.28,283.21
35.714,306.15,298.02,292.46,288.46,286.15,285.03,284.21,283.21
37.089,306.03,297.96,292.46,288.53,286.09,285.09,284.21,283.15
38.462,305.9,298.02,292.52,288.53,286.09,285.09,284.21,283.21
39.836,305.71,297.96,292.46,288.53,286.15,285.09,284.21,283.21
41.209,305.59,297.96,292.46,288.59,286.21,285.09,284.21,283.21
42.583,305.46,297.9,292.46,288.59,286.15,285.09,284.28,283.15
43.957,305.34,297.9,292.46,288.65,286.21,285.09,284.21,283.15
45.33,305.21,297.84,292.52,288.65,286.21,285.15,284.28,283.15
46.704,305.02,297.84,292.52,288.65,286.21,285.15,284.28,283.15
48.077,304.9,297.77,292.52,288.71,286.21,285.09,284.28,283.15
49.451,304.77,297.77,292.52,288.71,286.28,285.15,284.28,283.21
50.824,304.71,297.71,292.59,288.71,286.28,285.15,284.28,283.15
52.199,304.52,297.65,292.52,288.71,286.28,285.15,284.28,283.21
53.573,304.4,297.65,292.52,288.71,286.28,285.15,284.28,283.15
54.946,304.27,297.65,292.52,288.78,286.28,285.15,284.28,283.21
56.319,304.15,297.59,292.52,288.78,286.34,285.15,284.28,283.15
57.693,303.96,297.46,292.59,288.78,286.34,285.15,284.34,283.15
59.067,303.9,297.46,292.52,288.78,286.34,285.15,284.28,283.15
60.441,303.71,297.46,292.52,288.84,286.34,285.15,284.28,283.15
61.814,303.59,297.4,292.52,288.84,286.4,285.15,284.34,283.15
63.188,303.46,297.4,292.52,288.84,286.4,285.21,284.34,283.15
64.561,303.27,297.34,292.52,288.84,286.34,285.21,284.34,283.15
65.936,303.21,297.27,292.46,288.84,286.4,285.21,284.34,283.15
67.309,303.09,297.21,292.46,288.84,286.46,285.21,284.34,283.15
68.683,302.9,297.21,292.52,288.84,286.46,285.21,284.34,283.15
70.056,302.84,297.21,292.46,288.9,286.4,285.21,284.34,283.09
71.429,302.65,297.09,292.52,288.84,286.46,285.21,284.34,283.15
72.804,302.52,297.02,292.46,288.9,286.46,285.28,284.4,283.15
74.177,302.46,297.02,292.46,288.9,286.4,285.21,284.34,283.15
75.551,302.34,296.96,292.46,288.96,286.53,285.28,284.34,283.15
76.924,302.21,296.9,292.46,288.96,286.53,285.21,284.34,283.15
78.297,302.15,296.9,292.46,288.9,286.46,285.21,284.34,283.09
79.672,301.96,296.84,292.46,288.9,286.53,285.28,284.4,283.09
81.045,301.84,296.77,292.46,288.96,286.53,285.21,284.34,283.09
82.418,301.77,296.77,292.34,288.96,286.53,285.28,284.4,283.09
83.792,301.59,296.71,292.4,288.96,286.53,285.34,284.34,283.03
85.165,301.52,296.65,292.4,288.96,286.59,285.28,284.4,283.15
86.539,301.4,296.59,292.34,289.03,286.59,285.34,284.34,283.09
87.912,301.34,296.59,292.4,288.96,286.53,285.28,284.4,283.09
89.286,301.15,296.52,292.34,289.03,286.53,285.28,284.4,283.09
90.659,301.15,296.4,292.34,289.03,286.59,285.28,284.4,283.15
92.033,300.96,296.4,292.34,288.96,286.59,285.34,284.4,283.09
93.408,300.9,296.34,292.27,288.96,286.59,285.34,284.4,283.15
94.781,300.77,296.27,292.27,289.03,286.59,285.34,284.4,283.09
96.155,300.65,296.21,292.27,288.96,286.59,285.4,284.4,283.09
97.529,300.59,296.15,292.27,289.03,286.59,285.34,284.4,283.15
98.902,300.46,296.09,292.27,289.03,286.59,285.34,284.4,283.09
100.277,300.34,296.09,292.21,288.96,286.59,285.4,284.4,283.09
101.65,300.21,296.02,292.21,288.96,286.65,285.34,284.4,283.09
103.024,300.09,295.96,292.15,288.96,286.65,285.34,284.4,283.09
104.397,300.02,295.96,292.15,288.96,286.65,285.4,284.4,283.09
105.771,299.84,295.84,292.15,289.03,286.65,285.34,284.4,283.09
107.144,299.77,295.84,292.09,289.03,286.65,285.4,284.46,283.09
108.519,299.65,295.77,292.09,288.96,286.65,285.4,284.4,283.09
109.893,299.52,295.71,292.09,289.03,286.65,285.4,284.4,283.09
111.266,299.4,295.71,292.09,288.96,286.65,285.4,284.46,283.09
112.64,299.27,295.65,292.02,288.96,286.65,285.46,284.46,283.03
114.013,299.09,295.52,292.02,288.96,286.65,285.34,284.46,283.09
115.388,298.96,295.52,291.96,288.96,286.71,285.4,284.46,283.09
116.761,298.9,295.4,291.9,288.96,286.71,285.4,284.46,283.09
118.135,298.77,295.4,291.9,288.96,286.65,285.4,284.46,283.09
119.509,298.65,295.34,291.9,288.9,286.71,285.34,284.53,283.09
120.882,298.52,295.27,291.84,288.96,286.71,285.4,284.53,283.09
122.257,298.46,295.21,291.84,288.9,286.65,285.4,284.46,283.09
123.63,298.27,295.15,291.77,288.9,286.71,285.4,284.53,283.03
125.004,298.15,295.09,291.77,288.9,286.65,285.46,284.46,283.03
126.377,298.02,295.02,291.71,288.9,286.71,285.46,284.46,283.09
127.751,297.9,294.96,291.65,288.9,286.71,285.46,284.46,283.03
129.126,297.84,294.9,291.65,288.9,286.65,285.46,284.46,283.09
130.499,297.71,294.84,291.65,288.9,286.71,285.46,284.53,283.03
131.873,297.59,294.84,291.59,288.9,286.71,285.4,284.53,283.03
133.246,297.46,294.77,291.52,288.84,286.71,285.46,284.46,283.03
134.62,297.27,294.65,291.52,288.84,286.65,285.46,284.53,283.09
135.994,297.15,294.59,291.52,288.84,286.71,285.46,284.53,283.09
137.368,297.09,294.52,291.46,288.84,286.71,285.46,284.53,283.09
138.741,296.96,294.46,291.46,288.84,286.78,285.4,284.53,283.03
140.115,296.84,294.4,291.46,288.84,286.71,285.46,284.53,283.03
141.489,296.71,294.34,291.34,288.84,286.71,285.46,284.53,283.03
142.863,296.59,294.27,291.34,288.78,286.71,285.4,284.59,283.03
144.237,296.46,294.21,291.34,288.84,286.71,285.46,284.53,283.03
145.61,296.34,294.15,291.34,288.78,286.71,285.46,284.46,283.09
146.984,296.27,294.09,291.27,288.78,286.71,285.53,284.53,283.09
148.357,296.21,293.96,291.21,288.78,286.71,285.53,284.59,283.03
149.732,296.09,293.96,291.15,288.78,286.71,285.46,284.53,283.03
151.105,295.96,293.9,291.15,288.71,286.78,285.46,284.53,283.09
152.479,295.9,293.84,291.15,288.71,286.78,285.46,284.53,283.03
153.852,295.77,293.77,291.09,288.71,286.71,285.46,284.53,283.03
155.226,295.65,293.65,291.02,288.71,286.65,285.46,284.59,283.03
156.6,295.59,293.65,291.02,288.71,286.71,285.53,284.59,283.03
157.974,295.52,293.59,291.02,288.71,286.71,285.53,284.53,283.03
159.347,295.4,293.52,291.02,288.65,286.71,285.46,284.59,283.03
160.721,295.27,293.4,290.96,288.65,286.71,285.53,284.59,283.03
162.094,295.27,293.4,290.9,288.71,286.71,285.53,284.59,283.03
163.469,295.15,293.34,290.84,288.65,286.65,285.53,284.59,283.03
164.842,295.09,293.27,290.84,288.65,286.71,285.53,284.59,283.03
166.216,294.96,293.27,290.84,288.59,286.71,285.53,284.65,283.03
167.589,294.9,293.15,290.77,288.59,286.71,285.53,284.65,283.03
168.963,294.84,293.09,290.77,288.59,286.71,285.59,284.59,283.03
170.337,294.77,293.09,290.71,288.59,286.71,285.53,284.59,283.03
171.711,294.65,292.96,290.71,288.59,286.71,285.53,284.65,283.09
173.084,294.59,292.9,290.71,288.59,286.71,285.59,284.65,283.09
174.458,294.52,292.84,290.71,288.59,286.71,285.59,284.65,283.03
175.831,294.4,292.84,290.65,288.53,286.71,285.53,284.59,283.03
177.206,294.4,292.84,290.59,288.53,286.71,285.59,284.65,283.09
178.579,294.34,292.77,290.52,288.53,286.78,285.53,284.65,283.09
179.953,294.21,292.71,290.59,288.53,286.71,285.53,284.65,283.03
181.326,294.09,292.65,290.52,288.46,286.71,285.59,284.65,283.09
182.7,294.09,292.59,290.46,288.53,286.71,285.53,284.65,283.09
184.074,294.02,292.59,290.46,288.46,286.71,285.53,284.65,283.03
185.448,293.84,292.52,290.46,288.46,286.71,285.59,284.59,283.09
186.821,293.84,292.46,290.4,288.46,286.71,285.59,284.65,283.09
188.195,293.77,292.4,290.34,288.4,286.71,285.53,284.65,283.03
189.568,293.71,292.34,290.34,288.4,286.71,285.53,284.65,283.09
190.942,293.59,292.27,290.27,288.4,286.78,285.59,284.65,283.03
192.317,293.52,292.21,290.34,288.4,286.71,285.59,284.65,283.09
193.69,293.46,292.21,290.27,288.4,286.71,285.65,284.65,283.03
195.064,293.4,292.15,290.27,288.34,286.65,285.59,284.71,283.09
