Date,20/02/2020,Material,Aluminum
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0.0,322.21,308.28,300.34,292.34,288.84,286.15,284.46,281.65
1.373,322.15,308.4,300.46,292.46,288.9,286.21,284.46,281.65
2.747,322.09,308.46,300.52,292.52,288.9,286.21,284.46,281.65
4.12,322.03,308.53,300.59,292.52,288.96,286.21,284.46,281.65
5.493,321.9,308.59,300.71,292.59,289.03,286.28,284.53,281.59
6.866,321.78,308.65,300.77,292.65,289.09,286.34,284.53,281.65
8.239,321.65,308.65,300.77,292.71,289.09,286.34,284.53,281.59
9.614,321.53,308.65,300.84,292.77,289.15,286.4,284.59,281.59
10.987,321.28,308.65,300.9,292.77,289.21,286.46,284.53,281.59
12.36,321.21,308.65,300.96,292.84,289.27,286.46,284.59,281.59
13.733,320.96,308.65,301.02,292.96,289.34,286.53,284.59,281.65
15.106,320.84,308.65,301.09,292.96,289.34,286.53,284.65,281.59
16.48,320.65,308.65,301.09,293.09,289.4,286.53,284.59,281.59
17.853,320.53,308.59,301.15,293.09,289.4,286.65,284.65,281.59
19.227,320.28,308.53,301.21,293.15,289.46,286.59,284.71,281.59
20.6,320.15,308.46,301.27,293.21,289.52,286.65,284.71,281.59
21.973,319.96,308.46,301.27,293.21,289.59,286.71,284.78,281.53
23.346,319.78,308.34,301.27,293.34,289.65,286.71,284.78,281.59
24.72,319.53,308.34,301.27,293.34,289.65,286.71,284.84,281.59
26.093,319.28,308.21,301.27,293.4,289.77,286.78,284.84,281.59
27.467,319.09,308.15,301.27,293.46,289.77,286.78,284.9,281.53
28.84,318.84,308.09,301.34,293.46,289.84,286.84,284.9,281.59
30.213,318.46,308.03,301.34,293.52,289.84,286.9,284.96,281.59
31.587,318.34,307.9,301.27,293.52,289.96,286.9,284.96,281.59
32.96,318.15,307.84,301.27,293.65,289.96,286.96,284.96,281.53
34.334,317.9,307.78,301.21,293.65,290.02,286.96,285.03,281.59
35.707,317.71,307.65,301.21,293.65,290.02,287.03,285.09,281.59
37.08,317.53,307.53,301.21,293.65,290.09,287.09,285.09,281.59
38.454,317.34,307.46,301.21,293.71,290.15,287.03,285.09,281.53
39.827,317.03,307.34,301.09,293.71,290.21,287.15,285.09,281.53
41.2,316.84,307.28,301.09,293.77,290.21,287.09,285.15,281.59
42.573,316.53,307.15,301.09,293.77,290.21,287.15,285.15,281.53
43.946,316.34,307.03,300.96,293.84,290.27,287.21,285.15,281.53
45.319,316.09,306.96,300.96,293.84,290.34,287.21,285.21,281.53
46.693,315.84,306.84,300.84,293.77,290.34,287.21,285.21,281.53
48.067,315.59,306.71,300.84,293.77,290.4,287.28,285.28,281.59
49.44,315.34,306.59,300.77,293.84,290.4,287.28,285.34,281.59
50.813,315.15,306.53,300.77,293.84,290.46,287.34,285.34,281.53
52.186,314.84,306.4,300.71,293.84,290.46,287.4,285.34,281.53
53.56,314.65,306.28,300.65,293.84,290.52,287.4,285.34,281.53
54.934,314.4,306.15,300.59,293.9,290.59,287.4,285.4,281.53
56.307,314.15,306.03,300.52,293.9,290.59,287.46,285.4,281.53
57.68,313.96,305.9,300.52,293.9,290.59,287.46,285.46,281.59
59.053,313.78,305.78,300.46,293.9,290.65,287.53,285.53,281.53
60.427,313.59,305.65,300.4,293.9,290.65,287.53,285.53,281.53
61.801,313.28,305.53,300.34,293.9,290.65,287.59,285.59,281.53
63.174,313.03,305.4,300.34,293.9,290.71,287.59,285.59,281.53
64.547,312.84,305.34,300.27,293.9,290.65,287.65,285.59,281.53
65.92,312.59,305.15,300.21,293.96,290.77,287.65,285.65,281.59
67.293,312.34,305.09,300.09,293.96,290.71,287.65,285.71,281.46
