Date,07/02/2020,Material,Brass
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
0.0,281.59,281.15,280.71,280.53,280.34,280.53,280.34,280.09
1.369,281.59,281.15,280.71,280.53,280.28,280.59,280.34,280.09
2.739,281.53,281.15,280.71,280.53,280.34,280.53,280.34,280.03
4.11,281.53,281.15,280.78,280.53,280.34,280.59,280.34,280.09
5.48,281.59,281.03,280.78,280.53,280.34,280.53,280.28,279.96
6.85,281.65,281.09,280.71,280.53,280.28,280.53,280.34,280.03
8.22,281.65,281.09,280.78,280.53,280.34,280.53,280.34,280.03
9.59,281.65,281.09,280.78,280.53,280.28,280.53,280.34,280.09
10.96,281.71,281.09,280.71,280.59,280.34,280.59,280.34,280.09
12.33,281.84,281.09,280.78,280.59,280.34,280.59,280.34,280.09
13.7,281.84,281.09,280.78,280.59,280.34,280.53,280.34,280.03
15.07,282.03,281.09,280.78,280.53,280.34,280.53,280.34,280.09
16.441,282.09,281.09,280.78,280.59,280.34,280.59,280.34,280.03
17.81,282.15,281.09,280.78,280.53,280.34,280.59,280.34,280.09
19.18,282.28,281.09,280.84,280.53,280.4,280.59,280.34,280.09
20.55,282.34,281.09,280.78,280.59,280.34,280.53,280.34,280.09
21.92,282.4,281.15,280.78,280.53,280.4,280.59,280.34,280.09
23.29,282.53,281.15,280.78,280.59,280.4,280.53,280.4,280.09
24.66,282.59,281.15,280.78,280.59,280.34,280.53,280.34,280.09
26.03,282.65,281.15,280.84,280.59,280.34,280.59,280.34,280.09
27.4,282.78,281.21,280.78,280.59,280.34,280.59,280.34,280.09
28.771,283.09,281.21,280.84,280.59,280.4,280.59,280.34,280.09
30.141,283.4,281.21,280.78,280.59,280.34,280.59,280.34,280.09
31.511,283.9,281.21,280.78,280.59,280.4,280.53,280.34,280.03
32.881,284.53,281.21,280.84,280.59,280.4,280.59,280.34,280.03
34.252,285.09,281.28,280.84,280.59,280.4,280.59,280.34,280.09
35.622,285.84,281.28,280.84,280.59,280.4,280.59,280.34,280.09
36.992,286.84,281.4,280.9,280.65,280.46,280.59,280.34,280.09
38.362,288.03,281.4,280.9,280.65,280.4,280.59,280.34,280.09
39.734,289.52,281.46,280.96,280.65,280.46,280.59,280.34,280.03
41.104,290.59,281.59,280.96,280.65,280.4,280.59,280.34,280.03
42.474,292.15,281.65,280.96,280.71,280.46,280.65,280.34,280.03
43.845,293.52,281.71,281.03,280.71,280.4,280.65,280.4,280.09
45.215,294.52,281.9,281.09,280.71,280.46,280.59,280.4,280.09
46.585,295.65,281.96,281.09,280.78,280.46,280.65,280.4,280.09
47.955,296.46,282.03,281.09,280.78,280.53,280.65,280.4,280.09
49.326,297.27,282.15,281.15,280.78,280.53,280.65,280.4,280.09
50.696,297.9,282.28,281.21,280.78,280.53,280.65,280.4,280.09
52.067,298.59,282.34,281.15,280.84,280.53,280.71,280.4,280.09
53.437,299.15,282.46,281.21,280.84,280.53,280.65,280.46,280.15
54.808,299.71,282.59,281.28,280.9,280.53,280.65,280.4,280.15
56.178,300.21,282.78,281.28,280.9,280.53,280.65,280.4,280.09
57.548,300.65,282.84,281.21,280.9,280.53,280.65,280.46,280.15
58.918,301.15,283.03,281.28,280.9,280.59,280.71,280.4,280.09
60.289,301.52,283.15,281.34,280.9,280.59,280.71,280.4,280.15
61.659,302.02,283.15,281.34,280.9,280.59,280.71,280.46,280.15
63.031,302.4,283.34,281.34,280.9,280.59,280.65,280.4,280.15
64.402,302.77,283.46,281.34,280.9,280.59,280.71,280.46,280.15
65.773,303.09,283.59,281.4,280.96,280.59,280.71,280.4,280.15
67.143,303.52,283.78,281.4,280.96,280.59,280.71,280.46,280.15
68.514,303.71,283.9,281.4,280.96,280.59,280.71,280.46,280.15
69.885,304.02,283.96,281.4,280.96,280.65,280.71,280.46,280.15
71.256,304.27,284.09,281.4,280.96,280.59,280.78,280.46,280.15
72.626,304.59,284.21,281.46,280.96,280.65,280.71,280.46,280.15
73.998,304.96,284.34,281.53,280.96,280.59,280.78,280.46,280.15
75.369,305.34,284.46,281.53,280.96,280.59,280.71,280.4,280.09
76.739,305.78,284.65,281.53,280.96,280.59,280.71,280.46,280.15
78.11,306.15,284.78,281.53,281.03,280.65,280.71,280.46,280.15
79.481,306.46,284.9,281.59,281.03,280.59,280.71,280.46,280.15
80.852,306.78,285.03,281.59,281.03,280.59,280.71,280.46,280.15
82.222,307.15,285.15,281.59,281.03,280.65,280.78,280.46,280.09
83.594,307.46,285.28,281.65,280.96,280.59,280.78,280.46,280.15
84.965,307.84,285.4,281.65,281.09,280.65,280.71,280.46,280.09
86.336,308.15,285.59,281.71,281.03,280.65,280.78,280.46,280.15
87.706,308.59,285.71,281.71,281.03,280.65,280.78,280.46,280.09
89.078,308.9,285.84,281.71,281.03,280.71,280.71,280.46,280.09
