Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,355.96,335.71,321.4,310.59,302.77,296.09,293.15,280.34
12160,355.96,335.71,321.4,310.59,302.77,296.09,293.15,280.34
12297,355.96,335.78,321.4,310.65,302.77,296.15,293.15,280.34
12434,355.96,335.71,321.4,310.65,302.77,296.15,293.15,280.28
12571,355.96,335.71,321.4,310.65,302.84,296.09,293.15,280.28
12708,356.02,335.71,321.4,310.65,302.84,296.09,293.15,280.34
12846,355.96,335.71,321.4,310.59,302.84,296.09,293.15,280.34
12983,355.96,335.71,321.4,310.59,302.84,296.09,293.15,280.34
13120,355.96,335.71,321.4,310.65,302.84,296.15,293.15,280.34
13258,355.96,335.71,321.4,310.65,302.84,296.15,293.15,280.34
13395,355.96,335.71,321.4,310.65,302.84,296.21,293.15,280.28
13533,355.96,335.71,321.34,310.65,302.84,296.15,293.15,280.28
13670,355.96,335.71,321.34,310.65,302.84,296.15,293.15,280.28
13807,355.96,335.71,321.4,310.65,302.84,296.15,293.15,280.4
13944,356.02,335.71,321.4,310.65,302.84,296.15,293.15,280.4
14082,356.02,335.71,321.34,310.65,302.9,296.21,293.15,280.34
14219,356.02,335.65,321.34,310.65,302.9,296.21,293.15,280.34
14356,355.96,335.65,321.4,310.65,302.84,296.15,293.15,280.34
14494,355.96,335.71,321.34,310.65,302.84,296.21,293.15,280.34
14631,355.96,335.65,321.34,310.65,302.84,296.21,293.15,280.34
14769,355.96,335.65,321.4,310.65,302.84,296.21,293.15,280.34
14906,355.96,335.71,321.4,310.59,302.84,296.21,293.15,280.34
15043,355.96,335.71,321.34,310.59,302.84,296.21,293.15,280.28
15180,355.96,335.65,321.34,310.59,302.9,296.21,293.09,280.28
15318,355.96,335.65,321.4,310.59,302.9,296.21,293.09,280.34
15455,355.96,335.71,321.4,310.59,302.9,296.21,293.09,280.34
15592,355.96,335.71,321.4,310.59,302.9,296.21,293.09,280.34
15730,355.96,335.71,321.4,310.65,302.9,296.21,293.09,280.34
15867,355.96,335.71,321.4,310.65,302.9,296.21,293.09,280.34
16005,355.96,335.71,321.4,310.65,302.9,296.21,293.09,280.34
16142,355.96,335.65,321.4,310.65,302.9,296.21,293.09,280.34
16279,355.96,335.65,321.4,310.65,302.9,296.21,293.09,280.28
16416,355.96,335.71,321.4,310.65,302.9,296.21,293.15,280.34
16553,355.96,335.71,321.34,310.65,302.9,296.21,293.15,280.34
16691,355.96,335.71,321.34,310.65,302.96,296.21,293.15,280.4
16828,355.96,335.65,321.34,310.65,302.9,296.27,293.15,280.4
16966,355.96,335.65,321.34,310.59,302.9,296.27,293.15,280.34
17103,355.96,335.71,321.34,310.59,302.96,296.27,293.15,280.34
17241,355.96,335.71,321.34,310.59,302.96,296.27,293.15,280.34
17378,355.96,335.71,321.34,310.59,302.96,296.27,293.15,280.28
17515,355.9,335.71,321.34,310.59,302.96,296.27,293.15,280.28
17652,355.9,335.65,321.34,310.59,302.96,296.27,293.09,280.34
17789,355.9,335.65,321.34,310.59,302.96,296.27,293.09,280.34
17927,355.9,335.71,321.34,310.59,302.96,296.27,293.09,280.34
18065,355.9,335.71,321.34,310.65,302.96,296.27,293.09,280.34
18202,355.84,335.71,321.34,310.65,302.96,296.27,293.09,280.4
18339,355.84,335.65,321.34,310.65,302.96,296.27,293.15,280.34
18477,355.77,335.65,321.34,310.65,302.96,296.34,293.15,280.34
18614,355.77,335.65,321.34,310.65,302.96,296.34,293.09,280.4
18751,355.77,335.65,321.34,310.59,302.96,296.27,293.09,280.4
18888,355.77,335.65,321.28,310.59,303.02,296.27,293.09,280.34
19025,355.77,335.65,321.28,310.59,303.02,296.34,293.09,280.34
19164,355.71,335.65,321.34,310.59,303.02,296.34,293.09,280.34
19301,355.71,335.71,321.34,310.59,303.02,296.27,293.09,280.4
19438,355.71,335.71,321.34,310.59,303.02,296.27,293.09,280.4
19575,355.71,335.65,321.34,310.59,303.02,296.27,293.09,280.34
19713,355.65,335.65,321.28,310.59,303.02,296.34,293.09,280.34
19850,355.65,335.65,321.34,310.59,303.02,296.34,293.15,280.34
19987,355.65,335.65,321.34,310.59,303.02,296.34,293.15,280.4
20124,355.65,335.71,321.34,310.59,303.02,296.34,293.09,280.4
20262,355.59,335.65,321.34,310.59,303.02,296.34,293.09,280.34
20400,355.59,335.65,321.34,310.59,303.02,296.34,293.09,280.34
20537,355.52,335.65,321.34,310.59,303.02,296.34,293.15,280.34
20674,355.46,335.65,321.34,310.65,303.02,296.34,293.15,280.34
20811,355.46,335.65,321.28,310.65,303.02,296.34,293.15,280.4
20948,355.46,335.65,321.28,310.65,303.09,296.4,293.15,280.34
21086,355.46,335.65,321.34,310.65,303.09,296.4,293.09,280.34
21223,355.4,335.65,321.34,310.59,303.02,296.34,293.09,280.34
21360,355.4,335.65,321.34,310.59,303.09,296.34,293.15,280.34
21498,355.34,335.65,321.34,310.59,303.09,296.34,293.15,280.34
21636,355.34,335.65,321.34,310.59,303.09,296.34,293.09,280.34
