Date,01/02/2020,Material,Brass,6min,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,283.96,283.9,283.71,284.15,284.28,285.59,285.96,283.78
12160,283.96,283.84,283.71,284.21,284.28,285.65,285.96,283.78
12297,284.03,283.84,283.71,284.21,284.34,285.65,285.96,283.78
12434,284.03,283.9,283.71,284.21,284.28,285.53,286.03,283.78
12571,284.03,283.9,283.71,284.21,284.28,285.53,286.03,283.78
12708,284.03,283.9,283.71,284.21,284.34,285.53,285.96,283.84
12847,284.03,283.9,283.71,284.21,284.34,285.53,285.96,283.84
12984,284.03,283.9,283.71,284.15,284.34,285.53,285.96,283.78
13121,284.03,283.9,283.71,284.15,284.34,285.65,285.96,283.78
13258,284.03,283.9,283.71,284.21,284.28,285.65,286.03,283.84
13395,284.03,283.9,283.78,284.21,284.28,285.59,286.03,283.84
13533,283.96,283.9,283.78,284.21,284.28,285.59,286.03,283.78
13670,283.96,283.84,283.71,284.21,284.28,285.59,286.03,283.78
13808,284.03,283.84,283.71,284.21,284.34,285.59,286.03,283.78
13945,284.03,283.9,283.71,284.21,284.34,285.65,285.96,283.78
14083,284.03,283.84,283.71,284.15,284.28,285.65,285.96,283.78
14220,283.96,283.84,283.65,284.15,284.28,285.59,285.96,283.71
14357,283.96,283.84,283.71,284.15,284.28,285.59,285.96,283.71
14494,284.03,283.84,283.71,284.15,284.28,285.59,285.96,283.78
14632,284.03,283.9,283.65,284.15,284.28,285.59,285.96,283.78
14770,283.96,283.9,283.65,284.15,284.34,285.59,285.96,283.78
14907,283.96,283.84,283.65,284.15,284.34,285.65,285.96,283.78
15044,284.03,283.9,283.65,284.15,284.28,285.65,286.03,283.78
15181,284.09,283.9,283.71,284.15,284.28,285.65,286.03,283.78
15319,284.09,283.84,283.71,284.15,284.28,285.65,286.03,283.78
15456,284.21,283.84,283.71,284.15,284.28,285.65,286.03,283.78
15594,284.21,283.84,283.71,284.15,284.28,285.65,286.03,283.78
15731,284.21,283.84,283.71,284.15,284.28,285.65,286.09,283.78
15868,284.21,283.84,283.71,284.15,284.28,285.65,286.09,283.78
16006,284.28,283.84,283.71,284.15,284.28,285.71,286.03,283.78
16143,284.28,283.84,283.65,284.15,284.28,285.65,286.03,283.78
16280,284.4,283.84,283.65,284.15,284.34,285.65,286.03,283.78
16417,284.34,283.84,283.65,284.15,284.34,285.71,286.03,283.78
16556,284.34,283.84,283.71,284.15,284.28,285.71,286.09,283.78
16693,284.46,283.84,283.71,284.21,284.28,285.71,286.09,283.78
16830,284.46,283.84,283.71,284.21,284.28,285.71,286.09,283.78
16967,284.46,283.84,283.71,284.15,284.28,285.71,286.09,283.78
17104,284.46,283.84,283.71,284.15,284.28,285.71,286.09,283.78
17242,284.53,283.9,283.71,284.15,284.28,285.71,286.09,283.84
17380,284.53,283.9,283.71,284.15,284.28,285.71,286.09,283.84
17517,284.65,283.9,283.71,284.09,284.28,285.71,286.09,283.84
17654,284.65,283.9,283.71,284.09,284.28,285.78,286.09,283.84
17792,284.65,283.9,283.78,284.15,284.28,285.78,286.15,283.78
17929,284.78,283.9,283.78,284.15,284.34,285.71,286.15,283.84
18066,284.78,283.9,283.71,284.15,284.34,285.71,286.15,283.84
18203,284.9,283.9,283.71,284.15,284.28,285.78,286.15,283.84
18341,284.9,283.9,283.71,284.15,284.28,285.78,286.15,283.84
18479,284.96,283.9,283.78,284.15,284.28,285.78,286.15,283.84
18616,285.09,283.9,283.78,284.15,284.28,285.78,286.15,283.84
18753,285.09,283.96,283.71,284.21,284.28,285.78,286.21,283.84
18890,285.21,283.96,283.71,284.21,284.28,285.78,286.21,283.84
19027,285.21,283.96,283.71,284.21,284.28,285.78,286.21,283.84
19165,285.34,283.9,283.71,284.21,284.28,285.78,286.21,283.84
19303,285.34,283.9,283.71,284.15,284.28,285.78,286.21,283.84
19440,285.53,283.9,283.71,284.15,284.28,285.84,286.21,283.84
19577,285.53,283.9,283.78,284.21,284.28,285.84,286.21,283.84
19715,285.71,283.9,283.78,284.21,284.28,285.84,286.21,283.84
19852,285.84,283.9,283.78,284.15,284.28,285.84,286.21,283.84
19989,285.84,283.96,283.78,284.15,284.34,285.84,286.21,283.84
20126,286.03,283.96,283.78,284.21,284.28,285.84,286.21,283.84
20264,286.03,283.9,283.71,284.21,284.28,285.84,286.21,283.9
20402,286.15,283.9,283.71,284.15,284.28,285.84,286.21,283.78
20539,286.15,283.9,283.71,284.15,284.28,285.84,286.21,283.78
20676,286.34,283.9,283.78,284.15,284.21,285.84,286.21,283.84
20813,286.34,283.9,283.78,284.15,284.21,285.84,286.21,283.84
20951,286.46,283.9,283.65,284.15,284.28,285.84,286.21,283.78
21088,286.71,283.9,283.65,284.15,284.28,285.84,286.21,283.78
21226,286.71,283.9,283.71,284.15,284.28,285.9,286.21,283.84
21363,286.84,283.9,283.71,284.15,284.28,285.9,286.28,283.84
21500,286.84,283.9,283.71,284.15,284.28,285.84,286.28,283.84
21638,287.03,283.9,283.78,284.15,284.28,285.84,286.28,283.84
21775,287.03,283.9,283.78,284.15,284.28,285.9,286.21,283.84
21912,287.15,283.96,283.71,284.15,284.28,285.9,286.21,283.84
22049,287.28,283.9,283.71,284.15,284.28,285.9,286.28,283.84
22188,287.28,283.9,283.71,284.15,284.28,285.9,286.28,283.78
22325,287.46,283.96,283.71,284.15,284.28,285.9,286.28,283.78
22462,287.46,283.96,283.71,284.09,284.28,285.9,286.28,283.84
22599,287.59,283.9,283.71,284.09,284.28,285.9,286.34,283.84
22736,287.59,283.9,283.71,284.15,284.21,285.96,286.34,283.84
22874,287.78,283.96,283.71,284.15,284.21,285.96,286.28,283.84
23012,287.9,283.9,283.71,284.15,284.28,285.9,286.28,283.84
23149,287.9,283.9,283.78,284.15,284.28,285.9,286.34,283.84
23286,288.03,283.96,283.78,284.15,284.28,285.9,286.34,283.84
23424,288.03,283.96,283.71,284.15,284.28,285.9,286.34,283.84
23561,288.15,283.9,283.71,284.15,284.28,285.96,286.4,283.84
23698,288.15,283.9,283.78,284.15,284.28,285.96,286.4,283.84
23835,288.28,283.96,283.71,284.15,284.28,285.96,286.34,283.84
23973,288.28,283.96,283.71,284.15,284.28,285.96,286.34,283.84
24111,288.4,283.96,283.71,284.15,284.28,285.96,286.4,283.9
24248,288.46,283.96,283.71,284.15,284.28,285.96,286.4,283.9
24385,288.46,283.96,283.71,284.15,284.28,285.96,286.34,283.84
24522,288.59,283.96,283.71,284.21,284.28,285.96,286.4,283.84
24659,288.59,283.96,283.78,284.21,284.28,285.96,286.4,283.84
24798,288.78,283.9,283.71,284.15,284.28,286.03,286.4,283.9
24935,288.78,283.96,283.71,284.15,284.28,286.03,286.4,283.9
25072,288.9,283.96,283.78,284.15,284.28,286.03,286.46,283.84
25209,289.03,284.03,283.78,284.15,284.28,286.03,286.46,283.84
25347,289.03,284.03,283.78,284.21,284.28,286.03,286.46,283.9
25484,289.21,283.96,283.78,284.21,284.28,286.09,286.46,283.9
25621,289.21,283.96,283.78,284.15,284.28,286.09,286.46,283.84
25759,289.27,284.03,283.78,284.15,284.28,286.09,286.46,283.84
25896,289.27,284.03,283.78,284.15,284.28,286.09,286.4,283.84
26034,289.4,284.03,283.84,284.15,284.28,286.03,286.46,283.84
26171,289.4,283.96,283.84,284.15,284.28,286.03,286.46,283.84
26308,289.52,283.96,283.78,284.15,284.28,286.03,286.53,283.9
26445,289.71,283.96,283.78,284.15,284.34,286.09,286.53,283.9
26583,289.71,283.96,283.78,284.15,284.34,286.09,286.53,283.9
26721,289.84,284.09,283.78,284.21,284.28,286.15,286.53,283.9
26858,289.84,284.03,283.78,284.21,284.28,286.15,286.53,283.9
26995,289.84,284.03,283.84,284.21,284.28,286.15,286.53,283.9
27132,289.84,284.03,283.84,284.21,284.28,286.15,286.53,283.9
27270,290.02,284.03,283.78,284.15,284.34,286.15,286.53,283.9
27407,290.21,284.03,283.78,284.21,284.34,286.15,286.59,283.9
27544,290.21,284.03,283.78,284.21,284.28,286.15,286.53,283.9
27682,290.34,284.09,283.84,284.15,284.28,286.15,286.53,283.9
27820,290.34,284.09,283.84,284.15,284.28,286.15,286.59,283.9
27957,290.52,284.09,283.78,284.15,284.34,286.15,286.59,283.9
28094,290.52,284.03,283.78,284.15,284.34,286.15,286.59,283.9
28231,290.65,284.03,283.78,284.21,284.34,286.21,286.59,283.9
28368,290.84,284.03,283.78,284.21,284.34,286.21,286.59,283.9
28506,290.84,284.03,283.84,284.15,284.34,286.21,286.59,283.84
28644,290.96,284.09,283.84,284.15,284.34,286.21,286.65,283.84
28781,290.96,284.09,283.84,284.15,284.28,286.21,286.59,283.84
28918,291.15,284.09,283.78,284.15,284.28,286.21,286.59,283.84
29056,291.15,284.09,283.78,284.15,284.34,286.21,286.65,283.9
29193,291.34,284.09,283.78,284.15,284.34,286.21,286.65,283.9
29330,291.34,284.09,283.78,284.21,284.34,286.21,286.71,283.84
29468,291.46,284.09,283.78,284.21,284.34,286.21,286.71,283.9
29605,291.65,284.09,283.78,284.21,284.34,286.21,286.65,283.9
29743,291.65,284.15,283.78,284.21,284.34,286.28,286.65,283.9
29880,291.77,284.15,283.84,284.21,284.34,286.28,286.65,283.9
30017,291.77,284.09,283.84,284.21,284.34,286.28,286.65,283.9
30154,291.96,284.09,283.84,284.21,284.34,286.28,286.71,283.9
30291,291.96,284.15,283.84,284.21,284.34,286.28,286.71,283.9
30430,292.15,284.15,283.78,284.21,284.34,286.28,286.71,283.9
30567,292.27,284.09,283.78,284.21,284.34,286.28,286.71,283.9
30704,292.27,284.15,283.84,284.21,284.34,286.34,286.71,283.9
30841,292.52,284.15,283.84,284.21,284.4,286.34,286.71,283.9
30979,292.52,284.15,283.84,284.21,284.4,286.28,286.71,283.9
31116,292.71,284.15,283.84,284.21,284.34,286.28,286.71,283.9
31253,292.71,284.21,283.84,284.21,284.4,286.34,286.71,283.9
31391,292.9,284.21,283.84,284.21,284.4,286.34,286.78,283.9
31528,292.9,284.15,283.84,284.21,284.34,286.34,286.78,283.9
31666,293.02,284.21,283.9,284.21,284.34,286.34,286.78,283.96
31803,293.21,284.21,283.9,284.21,284.34,286.4,286.78,283.96
31940,293.21,284.21,283.9,284.28,284.34,286.4,286.78,283.9
32077,293.4,284.21,283.84,284.28,284.4,286.34,286.84,283.9
32216,293.4,284.21,283.84,284.21,284.4,286.34,286.84,283.9
32353,293.52,284.21,283.84,284.21,284.34,286.34,286.78,283.9
32490,293.52,284.21,283.84,284.28,284.34,286.4,286.78,283.9
32627,293.71,284.28,283.9,284.28,284.4,286.4,286.84,283.9
32764,293.84,284.28,283.9,284.28,284.34,286.4,286.84,283.9
32902,293.84,284.28,283.9,284.21,284.34,286.4,286.84,283.9
33039,294.02,284.28,283.9,284.21,284.34,286.4,286.84,283.9
33177,294.02,284.28,283.9,284.21,284.34,286.4,286.84,283.9
33314,294.21,284.28,283.9,284.21,284.34,286.4,286.9,283.9
33452,294.21,284.34,283.9,284.28,284.34,286.4,286.9,283.9
33589,294.4,284.34,283.9,284.28,284.34,286.4,286.84,283.9
33726,294.4,284.34,283.9,284.28,284.34,286.46,286.84,283.9
33863,294.59,284.34,283.9,284.28,284.4,286.46,286.9,283.9
34001,294.77,284.34,283.96,284.28,284.4,286.46,286.9,283.9
34139,294.77,284.34,283.96,284.28,284.4,286.46,286.9,283.9
34276,294.9,284.34,283.9,284.21,284.4,286.46,286.9,283.9
34413,294.9,284.4,283.9,284.21,284.34,286.46,286.9,283.9
34550,295.09,284.4,283.96,284.28,284.34,286.46,286.9,283.9
34688,295.09,284.4,283.96,284.28,284.34,286.46,286.9,283.96
34825,295.27,284.46,283.96,284.28,284.4,286.53,286.96,283.96
34963,295.46,284.46,283.9,284.28,284.4,286.53,286.96,283.9
35100,295.46,284.4,283.9,284.28,284.4,286.53,286.96,283.96
35237,295.65,284.4,283.96,284.28,284.4,286.53,286.96,283.96
35375,295.65,284.4,283.96,284.28,284.4,286.53,286.9,283.9
35512,295.84,284.46,283.9,284.28,284.4,286.53,286.9,283.9
35649,295.84,284.46,283.9,284.28,284.4,286.53,286.9,283.9
35787,296.09,284.53,283.9,284.28,284.4,286.59,286.9,283.9
35924,296.09,284.53,283.96,284.28,284.4,286.59,286.96,283.9
36062,296.27,284.53,283.96,284.28,284.46,286.59,286.96,283.9
36199,296.4,284.53,283.96,284.28,284.46,286.59,286.96,283.9
36336,296.4,284.53,283.96,284.28,284.4,286.59,287.03,283.96
36473,296.65,284.53,283.96,284.28,284.4,286.59,287.03,283.96
36612,296.65,284.53,283.96,284.28,284.4,286.59,287.03,283.9
36749,296.84,284.59,283.96,284.28,284.4,286.59,287.03,283.9
36886,296.84,284.59,284.03,284.28,284.4,286.59,287.03,283.9
37023,297.09,284.59,284.03,284.28,284.4,286.59,287.03,283.9
37160,297.21,284.59,283.96,284.28,284.46,286.59,287.03,283.9
37298,297.21,284.59,283.96,284.28,284.46,286.59,287.03,283.9
37435,297.46,284.65,284.03,284.28,284.4,286.59,287.03,283.9
37573,297.46,284.65,284.03,284.28,284.4,286.59,287.09,283.96
37710,297.65,284.71,284.03,284.34,284.4,286.65,287.09,283.96
37848,297.65,284.71,284.03,284.34,284.4,286.65,287.09,283.96
37985,297.9,284.71,284.03,284.34,284.4,286.65,287.09,283.96
38122,297.9,284.78,284.09,284.34,284.46,286.65,287.09,283.9
38259,298.15,284.78,284.09,284.34,284.46,286.65,287.09,283.9
38397,298.34,284.71,284.03,284.34,284.4,286.65,287.09,283.9
38535,298.34,284.71,284.03,284.34,284.4,286.65,287.09,283.9
38672,298.59,284.78,284.03,284.34,284.46,286.65,287.15,283.9
38809,298.59,284.78,284.03,284.34,284.46,286.71,287.09,283.84
38946,298.84,284.84,284.03,284.34,284.46,286.71,287.09,283.84
39084,298.84,284.84,284.09,284.34,284.46,286.71,287.15,283.9
39221,299.09,284.84,284.09,284.34,284.46,286.71,287.15,283.9
39359,299.09,284.84,284.09,284.34,284.46,286.71,287.15,283.9
39496,299.27,284.84,284.09,284.34,284.46,286.71,287.15,283.84
39633,299.52,284.84,284.15,284.34,284.46,286.71,287.15,283.84
39771,299.52,284.84,284.15,284.34,284.46,286.78,287.15,283.84
39908,299.77,284.9,284.15,284.34,284.46,286.78,287.09,283.84
40045,299.77,284.96,284.09,284.34,284.46,286.78,287.15,283.9
40183,300.02,284.96,284.09,284.34,284.46,286.78,287.15,283.9
40321,300.02,284.96,284.09,284.4,284.46,286.78,287.21,283.9
40458,300.27,284.96,284.09,284.4,284.46,286.78,287.21,283.84
40595,300.52,285.03,284.15,284.34,284.46,286.78,287.21,283.84
40732,300.52,285.03,284.15,284.34,284.46,286.78,287.21,283.84
40869,300.77,285.03,284.15,284.34,284.53,286.78,287.21,283.84
41007,300.77,285.09,284.21,284.34,284.53,286.84,287.21,283.9
41145,301.02,285.09,284.21,284.34,284.46,286.84,287.21,283.9
41282,301.02,285.09,284.21,284.4,284.46,286.78,287.21,283.9
41419,301.21,285.09,284.21,284.4,284.53,286.78,287.28,283.9
41556,301.21,285.09,284.21,284.4,284.53,286.84,287.28,283.84
41694,301.4,285.09,284.15,284.4,284.53,286.84,287.28,283.84
41831,301.59,285.15,284.15,284.4,284.53,286.84,287.28,283.84
41968,301.59,285.15,284.15,284.4,284.46,286.84,287.28,283.9
42106,301.84,285.15,284.15,284.4,284.46,286.84,287.28,283.9
42244,301.84,285.15,284.21,284.4,284.53,286.9,287.28,283.84
42381,301.96,285.15,284.21,284.46,284.53,286.9,287.28,283.84
42518,301.96,285.21,284.21,284.46,284.53,286.84,287.28,283.84
42655,302.15,285.21,284.28,284.4,284.53,286.84,287.28,283.84
42792,302.15,285.21,284.28,284.4,284.53,286.84,287.28,283.84
42931,302.4,285.21,284.28,284.4,284.53,286.84,287.28,283.84
43068,302.52,285.21,284.28,284.4,284.53,286.96,287.28,283.84
43205,302.52,285.34,284.21,284.4,284.53,286.96,287.28,283.84
43342,302.71,285.34,284.21,284.4,284.53,286.9,287.28,283.84
43480,302.71,285.4,284.21,284.4,284.53,286.9,287.28,283.84
43617,302.96,285.4,284.21,284.4,284.53,286.9,287.4,283.84
43754,302.96,285.4,284.21,284.4,284.53,286.9,287.4,283.78
43892,303.15,285.4,284.28,284.46,284.59,286.9,287.34,283.78
44029,303.4,285.4,284.28,284.46,284.59,286.9,287.34,283.78
44167,303.4,285.4,284.28,284.46,284.53,286.9,287.34,283.78
44304,303.65,285.4,284.28,284.46,284.53,286.96,287.34,283.78
44441,303.65,285.46,284.28,284.46,284.53,286.96,287.34,283.84
44578,303.84,285.46,284.28,284.46,284.53,286.96,287.4,283.84
44717,303.84,285.46,284.28,284.46,284.53,286.96,287.4,283.78
44854,304.09,285.46,284.34,284.46,284.53,286.96,287.4,283.78
44991,304.09,285.46,284.34,284.46,284.59,286.96,287.4,283.84
45128,304.27,285.53,284.34,284.46,284.59,286.96,287.4,283.78
45265,304.52,285.53,284.34,284.46,284.53,286.96,287.4,283.78
45403,304.52,285.59,284.34,284.46,284.53,286.96,287.4,283.84
45541,304.71,285.59,284.34,284.53,284.59,287.03,287.4,283.84
45678,304.71,285.65,284.34,284.53,284.53,287.03,287.4,283.78
45815,304.9,285.65,284.34,284.46,284.53,287.03,287.46,283.78
45953,304.9,285.65,284.34,284.46,284.53,287.03,287.46,283.78
46090,305.21,285.65,284.4,284.46,284.53,287.03,287.46,283.78
46227,305.21,285.65,284.4,284.46,284.59,287.03,287.46,283.78
46365,305.4,285.71,284.4,284.53,284.59,287.03,287.46,283.78
46502,305.65,285.71,284.4,284.53,284.59,287.03,287.46,283.78
46640,305.65,285.78,284.4,284.53,284.59,287.03,287.46,283.84
46777,305.84,285.78,284.34,284.53,284.65,287.09,287.46,283.84
46914,305.84,285.78,284.34,284.53,284.65,287.09,287.53,283.84
47051,306.09,285.84,284.4,284.46,284.59,287.03,287.53,283.84
47188,306.09,285.84,284.4,284.46,284.65,287.03,287.46,283.78
47327,306.28,285.84,284.4,284.53,284.65,287.03,287.53,283.84
47464,306.28,285.84,284.4,284.53,284.59,287.03,287.53,283.84
47601,306.46,285.9,284.4,284.53,284.59,287.09,287.53,283.78
47738,306.65,285.9,284.4,284.53,284.59,287.09,287.53,283.78
47876,306.65,285.9,284.4,284.53,284.59,287.09,287.46,283.78
48013,306.9,285.96,284.46,284.53,284.59,287.09,287.46,283.78
48151,306.9,285.96,284.46,284.53,284.59,287.09,287.46,283.84
48288,307.09,286.03,284.46,284.53,284.59,287.15,287.46,283.78
48425,307.09,286.03,284.46,284.53,284.59,287.15,287.53,283.78
48563,307.28,286.03,284.46,284.53,284.65,287.09,287.53,283.84
48700,307.28,286.09,284.53,284.59,284.59,287.09,287.53,283.84
48837,307.53,286.09,284.53,284.59,284.59,287.15,287.53,283.84
48975,307.71,286.15,284.53,284.53,284.59,287.15,287.53,283.84
49113,307.71,286.15,284.53,284.53,284.59,287.15,287.59,283.84
49250,307.9,286.15,284.53,284.59,284.71,287.15,287.59,283.84
49387,307.9,286.15,284.53,284.59,284.71,287.15,287.59,283.78
49524,308.09,286.15,284.53,284.53,284.59,287.15,287.59,283.84
49661,308.09,286.21,284.53,284.59,284.59,287.15,287.59,283.84
49799,308.28,286.21,284.53,284.59,284.65,287.15,287.59,283.84
49937,308.28,286.28,284.53,284.59,284.65,287.15,287.59,283.84
50074,308.46,286.28,284.53,284.59,284.65,287.15,287.59,283.84
50211,308.65,286.28,284.53,284.53,284.65,287.15,287.59,283.84
50349,308.65,286.28,284.53,284.53,284.65,287.21,287.59,283.84
50486,308.84,286.34,284.53,284.59,284.71,287.21,287.59,283.84
50623,308.84,286.34,284.59,284.59,284.71,287.21,287.65,283.84
50760,309.03,286.34,284.59,284.59,284.65,287.21,287.65,283.84
50898,309.03,286.4,284.59,284.59,284.65,287.21,287.65,283.84
51036,309.21,286.4,284.59,284.65,284.65,287.21,287.65,283.84
51173,309.4,286.46,284.59,284.65,284.65,287.21,287.59,283.84
51310,309.4,286.46,284.59,284.65,284.71,287.21,287.59,283.84
51447,309.65,286.46,284.59,284.65,284.71,287.21,287.65,283.84
51585,309.65,286.46,284.59,284.65,284.65,287.21,287.71,283.78
51722,309.84,286.46,284.59,284.65,284.65,287.21,287.71,283.84
51860,309.84,286.53,284.65,284.59,284.65,287.21,287.65,283.84
