Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,287.46,285.4,284.96,283.53,283.34,283.65,283.4,285.53
12160,287.53,285.4,284.96,283.53,283.34,283.65,283.4,285.59
12297,287.59,285.4,284.96,283.53,283.34,283.71,283.46,285.59
12434,287.59,285.4,284.96,283.53,283.34,283.71,283.46,285.53
12571,287.59,285.34,284.96,283.53,283.34,283.65,283.4,285.53
12708,287.59,285.34,284.96,283.53,283.34,283.65,283.46,285.53
12846,287.65,285.34,284.96,283.53,283.34,283.71,283.46,285.53
12984,287.65,285.34,284.96,283.46,283.34,283.65,283.4,285.53
13121,287.71,285.46,284.96,283.53,283.4,283.65,283.4,285.59
13258,287.78,285.34,284.96,283.53,283.34,283.65,283.34,285.59
13395,287.78,285.34,284.9,283.46,283.34,283.65,283.34,285.53
13533,287.84,285.4,284.9,283.46,283.34,283.65,283.4,285.53
13670,287.84,285.4,284.96,283.46,283.34,283.65,283.4,285.53
13808,287.9,285.4,284.96,283.46,283.4,283.71,283.4,285.59
13945,287.9,285.4,284.96,283.53,283.4,283.71,283.4,285.59
14083,288.03,285.34,284.96,283.53,283.34,283.65,283.4,285.53
14220,288.03,285.34,284.96,283.46,283.34,283.65,283.4,285.53
14357,288.03,285.34,284.96,283.46,283.34,283.65,283.4,285.59
14494,288.15,285.4,284.96,283.53,283.28,283.71,283.4,285.59
14631,288.15,285.4,284.96,283.53,283.28,283.71,283.4,285.53
14770,288.15,285.34,285.03,283.46,283.34,283.65,283.4,285.53
14907,288.15,285.34,285.03,283.46,283.34,283.65,283.34,285.53
15044,288.28,285.34,284.96,283.4,283.34,283.65,283.34,285.53
15181,288.34,285.34,284.96,283.4,283.34,283.65,283.4,285.53
15319,288.34,285.34,284.96,283.46,283.34,283.65,283.4,285.53
15456,288.4,285.34,284.96,283.46,283.34,283.65,283.4,285.53
15594,288.4,285.34,284.96,283.46,283.34,283.65,283.4,285.53
15731,288.53,285.34,284.96,283.46,283.34,283.65,283.4,285.53
15868,288.53,285.34,284.96,283.46,283.34,283.65,283.4,285.53
16006,288.53,285.34,284.96,283.46,283.34,283.65,283.46,285.53
16143,288.65,285.34,284.96,283.46,283.34,283.65,283.34,285.53
16280,288.65,285.34,284.96,283.46,283.34,283.65,283.34,285.46
16417,288.71,285.34,284.96,283.46,283.34,283.65,283.34,285.46
16556,288.71,285.34,284.96,283.46,283.34,283.65,283.34,285.53
16693,288.84,285.34,284.96,283.46,283.34,283.65,283.34,285.53
16830,288.84,285.34,284.96,283.46,283.34,283.65,283.34,285.53
16967,288.96,285.34,284.96,283.46,283.34,283.65,283.4,285.53
17104,289.03,285.4,284.96,283.4,283.34,283.65,283.4,285.53
17242,289.03,285.4,284.96,283.4,283.34,283.65,283.4,285.53
17380,289.15,285.34,284.96,283.53,283.34,283.65,283.4,285.53
17517,289.15,285.34,284.96,283.46,283.34,283.65,283.4,285.53
17654,289.21,285.34,284.96,283.46,283.34,283.65,283.34,285.53
17792,289.21,285.4,284.96,283.46,283.34,283.65,283.34,285.53
17929,289.27,285.4,284.96,283.46,283.34,283.59,283.34,285.53
18066,289.4,285.34,284.96,283.46,283.28,283.59,283.34,285.53
18203,289.4,285.34,284.96,283.46,283.28,283.65,283.34,285.53
18341,289.52,285.34,284.9,283.46,283.28,283.65,283.4,285.53
18479,289.52,285.34,284.9,283.46,283.28,283.65,283.4,285.53
18616,289.59,285.34,284.9,283.46,283.34,283.65,283.34,285.53
18753,289.59,285.34,284.9,283.46,283.34,283.65,283.34,285.53
18890,289.65,285.34,284.96,283.4,283.34,283.65,283.34,285.59
19027,289.71,285.34,284.96,283.4,283.34,283.65,283.34,285.59
19166,289.71,285.34,284.96,283.4,283.34,283.65,283.34,285.53
19303,289.84,285.34,284.96,283.4,283.34,283.65,283.34,285.53
19440,289.84,285.34,284.96,283.4,283.34,283.59,283.4,285.53
19577,289.84,285.34,284.9,283.46,283.34,283.59,283.34,285.53
19715,289.84,285.34,284.9,283.46,283.34,283.59,283.34,285.53
19852,289.9,285.34,284.9,283.46,283.34,283.59,283.4,285.53
19990,290.02,285.34,284.9,283.46,283.28,283.59,283.4,285.53
20127,290.02,285.34,284.9,283.46,283.28,283.65,283.4,285.53
20264,290.09,285.34,284.9,283.46,283.34,283.65,283.4,285.53
20402,290.09,285.34,284.9,283.4,283.34,283.59,283.34,285.53
20539,290.21,285.34,284.96,283.4,283.34,283.59,283.4,285.53
20676,290.21,285.28,284.96,283.4,283.34,283.59,283.4,285.53
20813,290.27,285.28,284.9,283.4,283.28,283.59,283.4,285.59
20952,290.4,285.34,284.9,283.4,283.28,283.65,283.4,285.59
21089,290.4,285.34,284.9,283.4,283.28,283.65,283.34,285.59
21226,290.52,285.34,284.96,283.4,283.34,283.65,283.34,285.59
21363,290.52,285.34,284.96,283.4,283.34,283.59,283.4,285.59
21500,290.65,285.34,284.9,283.4,283.34,283.59,283.4,285.53
21638,290.65,285.34,284.9,283.4,283.34,283.65,283.34,285.53
21776,290.71,285.34,284.9,283.4,283.28,283.65,283.34,285.59
21913,290.84,285.34,284.96,283.46,283.28,283.65,283.34,285.59
22050,290.84,285.34,284.96,283.46,283.34,283.65,283.34,285.53
22188,290.9,285.34,284.9,283.4,283.34,283.59,283.34,285.53
22325,290.9,285.28,284.9,283.4,283.28,283.65,283.4,285.59
22462,290.96,285.28,284.9,283.46,283.28,283.65,283.4,285.59
22600,290.96,285.34,284.9,283.46,283.28,283.59,283.34,285.59
22737,291.02,285.28,284.9,283.4,283.34,283.59,283.34,285.53
22875,291.15,285.28,284.9,283.4,283.34,283.65,283.34,285.53
23012,291.15,285.34,284.9,283.46,283.28,283.65,283.34,285.59
23149,291.27,285.34,284.9,283.46,283.28,283.65,283.34,285.59
23286,291.27,285.28,284.9,283.4,283.34,283.65,283.34,285.59
23424,291.34,285.34,284.9,283.4,283.34,283.65,283.34,285.65
23562,291.34,285.34,284.9,283.4,283.34,283.59,283.34,285.65
23699,291.46,285.28,284.9,283.4,283.34,283.59,283.34,285.59
23836,291.52,285.28,284.9,283.4,283.28,283.65,283.34,285.59
23973,291.52,285.28,284.9,283.4,283.28,283.65,283.34,285.65
24111,291.59,285.28,284.9,283.4,283.28,283.59,283.34,285.65
24248,291.59,285.34,284.9,283.46,283.34,283.59,283.28,285.59
24386,291.71,285.34,284.9,283.46,283.34,283.65,283.28,285.59
24523,291.71,285.34,284.9,283.4,283.28,283.59,283.34,285.59
24660,291.84,285.34,284.9,283.4,283.28,283.59,283.34,285.59
24798,291.96,285.34,284.9,283.46,283.21,283.65,283.34,285.59
24935,291.96,285.28,284.9,283.46,283.21,283.65,283.34,285.59
25072,292.02,285.28,284.9,283.4,283.28,283.65,283.34,285.59
25209,292.02,285.34,284.9,283.4,283.28,283.65,283.34,285.59
