Date,01/02/2020,Material,Brass,3min47s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,285.46,285.4,285.21,285.59,285.59,285.78,285.9,284.78
12160,285.4,285.4,285.21,285.59,285.65,285.78,285.9,284.78
12297,285.4,285.4,285.21,285.65,285.65,285.78,285.9,284.78
12434,285.4,285.4,285.21,285.59,285.65,285.84,285.9,284.78
12571,285.4,285.46,285.21,285.59,285.59,285.84,285.9,284.78
12708,285.4,285.4,285.21,285.59,285.59,285.78,285.9,284.84
12846,285.46,285.4,285.21,285.59,285.59,285.78,285.9,284.84
12984,285.46,285.46,285.21,285.65,285.59,285.78,285.9,284.78
13121,285.46,285.46,285.21,285.65,285.65,285.78,285.9,284.78
13258,285.46,285.4,285.15,285.65,285.65,285.78,285.9,284.78
13395,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.84
13533,285.46,285.4,285.21,285.65,285.65,285.84,285.9,284.84
13670,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.71
13808,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.71
13945,285.46,285.46,285.21,285.65,285.65,285.84,285.9,284.78
14083,285.46,285.46,285.21,285.59,285.59,285.84,285.9,284.78
14220,285.46,285.4,285.15,285.59,285.59,285.78,285.9,284.78
14357,285.46,285.4,285.15,285.59,285.59,285.78,285.9,284.78
14494,285.53,285.4,285.15,285.59,285.59,285.78,285.9,284.78
14631,285.53,285.4,285.21,285.59,285.65,285.78,285.9,284.78
14770,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
14907,285.46,285.4,285.21,285.65,285.59,285.84,285.96,284.78
15044,285.46,285.4,285.21,285.65,285.59,285.84,285.96,284.78
15181,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
15319,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
15456,285.46,285.4,285.21,285.65,285.65,285.84,285.96,284.78
15594,285.46,285.4,285.21,285.59,285.65,285.84,285.9,284.78
15731,285.46,285.4,285.21,285.59,285.65,285.78,285.9,284.78
15868,285.46,285.4,285.21,285.59,285.65,285.78,285.96,284.78
16006,285.46,285.4,285.21,285.59,285.65,285.78,285.96,284.78
16143,285.46,285.4,285.28,285.65,285.59,285.78,285.9,284.78
16280,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.84
16417,285.46,285.4,285.21,285.59,285.65,285.84,285.96,284.84
16556,285.46,285.46,285.21,285.59,285.65,285.84,285.96,284.78
16693,285.46,285.46,285.21,285.65,285.59,285.78,285.9,284.78
16830,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.78
16967,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
17104,285.46,285.46,285.21,285.59,285.59,285.78,285.9,284.78
17242,285.46,285.4,285.21,285.59,285.59,285.78,285.9,284.78
17380,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.78
17517,285.46,285.4,285.21,285.65,285.59,285.78,285.9,284.78
17654,285.46,285.4,285.21,285.65,285.65,285.78,285.9,284.78
17792,285.46,285.46,285.21,285.65,285.65,285.78,285.9,284.78
17929,285.46,285.46,285.21,285.59,285.65,285.84,285.9,284.78
18066,285.46,285.4,285.21,285.59,285.65,285.84,285.9,284.78
18203,285.46,285.4,285.21,285.59,285.65,285.78,285.9,284.78
18341,285.46,285.4,285.21,285.59,285.65,285.78,285.9,284.78
18479,285.46,285.4,285.21,285.59,285.65,285.78,285.9,284.78
18616,285.59,285.4,285.21,285.59,285.65,285.78,285.9,284.78
18753,285.59,285.4,285.21,285.65,285.65,285.78,285.9,284.84
18890,285.71,285.4,285.21,285.65,285.59,285.78,285.9,284.84
19027,285.71,285.4,285.21,285.65,285.59,285.78,285.9,284.78
19166,285.78,285.46,285.21,285.65,285.59,285.78,285.9,284.78
19303,285.9,285.46,285.21,285.59,285.59,285.78,285.9,284.78
19440,285.9,285.4,285.21,285.59,285.65,285.78,285.9,284.78
19577,285.96,285.4,285.21,285.59,285.65,285.78,285.9,284.78
19715,285.96,285.46,285.21,285.65,285.59,285.78,285.9,284.78
19852,286.09,285.46,285.28,285.65,285.65,285.78,285.9,284.78
19989,286.09,285.46,285.28,285.59,285.65,285.78,285.9,284.84
20127,286.21,285.4,285.21,285.59,285.65,285.78,285.9,284.84
20264,286.21,285.4,285.21,285.59,285.65,285.78,285.9,284.84
20402,286.21,285.4,285.21,285.59,285.59,285.71,285.9,284.78
20539,286.21,285.4,285.21,285.65,285.59,285.71,285.9,284.78
20676,286.21,285.4,285.28,285.65,285.59,285.78,285.9,284.84
20813,286.28,285.4,285.21,285.65,285.59,285.78,285.9,284.84
20951,286.28,285.4,285.21,285.65,285.65,285.78,285.9,284.78
21089,286.28,285.46,285.21,285.59,285.65,285.78,285.9,284.78
21226,286.4,285.46,285.21,285.59,285.65,285.84,285.9,284.78
