Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,331.53,313.15,302.02,294.09,288.84,285.59,284.28,280.15
12160,331.59,313.15,302.02,294.09,288.84,285.59,284.28,280.15
12297,331.59,313.15,302.02,294.15,288.84,285.65,284.28,280.09
12434,331.59,313.15,302.02,294.15,288.84,285.65,284.34,280.09
12571,331.59,313.15,302.02,294.15,288.84,285.65,284.34,280.09
12708,331.65,313.15,302.02,294.15,288.84,285.65,284.28,280.09
12846,331.65,313.21,302.02,294.15,288.84,285.65,284.34,280.15
12983,331.65,313.21,302.02,294.15,288.9,285.65,284.34,280.09
13120,331.65,313.21,302.02,294.21,288.9,285.65,284.34,280.09
13257,331.65,313.28,302.09,294.21,288.9,285.65,284.34,280.15
13395,331.78,313.28,302.09,294.21,288.9,285.65,284.34,280.15
13533,331.78,313.28,302.09,294.21,288.96,285.71,284.34,280.15
13670,331.71,313.28,302.15,294.21,288.96,285.71,284.34,280.15
13807,331.71,313.34,302.15,294.21,288.96,285.71,284.34,280.15
13944,331.71,313.34,302.21,294.21,288.96,285.71,284.34,280.03
14082,331.71,313.34,302.21,294.27,288.96,285.71,284.4,280.03
14219,331.84,313.4,302.15,294.27,288.96,285.78,284.4,280.09
14356,331.84,313.4,302.15,294.27,288.96,285.78,284.34,280.09
14493,331.84,313.4,302.21,294.27,288.96,285.71,284.34,280.15
14631,331.84,313.4,302.21,294.27,288.96,285.78,284.4,280.15
14769,331.84,313.4,302.21,294.27,288.96,285.78,284.4,280.15
14906,331.9,313.4,302.21,294.34,288.96,285.71,284.4,280.15
15043,331.9,313.46,302.21,294.34,288.96,285.71,284.4,280.15
15180,331.9,313.46,302.27,294.34,289.03,285.71,284.4,280.15
15318,331.9,313.46,302.27,294.34,289.03,285.71,284.4,280.15
15455,331.96,313.46,302.27,294.4,289.03,285.71,284.4,280.15
15592,331.9,313.46,302.34,294.4,289.03,285.71,284.4,280.15
15729,331.9,313.53,302.34,294.4,289.03,285.71,284.4,280.15
15867,331.96,313.53,302.34,294.4,289.03,285.78,284.4,280.15
16005,331.96,313.53,302.34,294.4,289.09,285.78,284.4,280.15
16142,332.03,313.53,302.4,294.4,289.09,285.78,284.4,280.09
16279,332.03,313.53,302.4,294.4,289.09,285.78,284.46,280.09
16416,332.03,313.59,302.4,294.4,289.09,285.78,284.46,280.15
16553,332.03,313.59,302.4,294.4,289.03,285.78,284.46,280.15
16691,332.03,313.59,302.4,294.4,289.09,285.78,284.46,280.15
16828,332.03,313.59,302.4,294.4,289.09,285.78,284.4,280.15
16965,332.03,313.65,302.4,294.46,289.09,285.78,284.4,280.15
17103,332.03,313.65,302.4,294.46,289.09,285.84,284.46,280.09
17241,332.03,313.65,302.4,294.52,289.09,285.84,284.4,280.09
