Date,20/02/2020,Material,Aluminum
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022.0,312.71,305.4,299.9,294.34,291.21,288.78,287.4,281.9
12160.0,312.71,305.34,299.96,294.34,291.21,288.78,287.4,281.9
12297.0,312.65,305.34,299.96,294.34,291.21,288.78,287.46,281.9
12434.0,312.65,305.4,299.9,294.34,291.27,288.78,287.46,281.9
12571.0,312.59,305.34,299.9,294.34,291.27,288.78,287.46,281.9
12708.0,312.59,305.34,299.96,294.34,291.21,288.78,287.46,281.9
12846.0,312.59,305.34,299.96,294.34,291.21,288.78,287.46,281.96
12983.0,312.59,305.34,299.96,294.34,291.21,288.78,287.46,281.9
13120.0,312.59,305.34,299.9,294.34,291.21,288.78,287.46,281.9
13258.0,312.53,305.34,299.9,294.27,291.27,288.78,287.53,281.9
13395.0,312.53,305.34,299.9,294.27,291.21,288.78,287.53,281.9
13533.0,312.53,305.34,299.9,294.34,291.21,288.78,287.46,281.9
13670.0,312.53,305.34,299.9,294.34,291.27,288.78,287.46,281.9
13807.0,312.46,305.34,299.9,294.34,291.27,288.84,287.46,281.9
13944.0,312.46,305.34,299.9,294.34,291.27,288.84,287.46,281.9
14082.0,312.46,305.28,299.9,294.27,291.27,288.84,287.46,281.9
14219.0,312.4,305.28,299.9,294.27,291.27,288.84,287.53,281.9
14357.0,312.4,305.34,299.9,294.34,291.27,288.78,287.53,281.9
14494.0,312.4,305.34,299.9,294.34,291.21,288.78,287.46,281.84
14631.0,312.4,305.34,299.96,294.4,291.21,288.84,287.46,281.84
14769.0,312.4,305.28,299.9,294.4,291.27,288.84,287.53,281.84
14906.0,312.4,305.28,299.9,294.34,291.27,288.78,287.53,281.84
15043.0,312.34,305.28,299.9,294.34,291.27,288.84,287.46,281.84
15180.0,312.34,305.28,299.9,294.34,291.27,288.84,287.46,281.9
15318.0,312.34,305.21,299.96,294.34,291.27,288.84,287.46,281.9
15456.0,312.28,305.28,299.96,294.4,291.27,288.84,287.53,281.9
15593.0,312.28,305.28,299.9,294.4,291.27,288.84,287.53,281.9
15730.0,312.28,305.21,299.96,294.34,291.27,288.84,287.53,281.9
15867.0,312.28,305.21,299.96,294.34,291.27,288.84,287.53,281.84
16005.0,312.21,305.28,299.9,294.34,291.27,288.84,287.53,281.84
16142.0,312.21,305.28,299.9,294.34,291.27,288.84,287.53,281.9
16279.0,312.21,305.21,299.9,294.34,291.27,288.84,287.53,281.9
16416.0,312.15,305.21,299.9,294.34,291.27,288.84,287.53,281.9
16553.0,312.15,305.21,299.9,294.34,291.27,288.84,287.53,281.9
16692.0,312.15,305.21,299.9,294.34,291.34,288.84,287.53,281.9
16829.0,312.15,305.21,299.9,294.34,291.34,288.84,287.53,281.9
16966.0,312.09,305.21,299.84,294.34,291.27,288.84,287.53,281.9
17103.0,312.09,305.21,299.84,294.34,291.27,288.84,287.53,281.9
17241.0,312.09,305.21,299.9,294.4,291.27,288.9,287.53,281.9
17378.0,312.09,305.15,299.9,294.4,291.27,288.9,287.53,281.84
17515.0,312.09,305.15,299.9,294.4,291.34,288.84,287.53,281.84
17652.0,312.03,305.15,299.9,294.4,291.27,288.84,287.53,281.9
17789.0,312.03,305.15,299.9,294.34,291.27,288.84,287.53,281.9
17928.0,312.03,305.15,299.9,294.34,291.27,288.84,287.53,281.9
18065.0,312.03,305.15,299.9,294.34,291.27,288.9,287.53,281.84
18202.0,311.96,305.15,299.9,294.34,291.27,288.9,287.46,281.84
18339.0,311.96,305.15,299.9,294.34,291.27,288.84,287.46,281.9
18477.0,311.96,305.15,299.9,294.34,291.27,288.9,287.53,281.9
18614.0,311.96,305.09,299.9,294.34,291.27,288.9,287.53,281.84
18751.0,311.96,305.09,299.9,294.34,291.27,288.84,287.53,281.84
18888.0,311.9,305.15,299.9,294.34,291.27,288.84,287.53,281.84
19025.0,311.9,305.15,299.9,294.34,291.34,288.9,287.53,281.9
19164.0,311.84,305.02,299.9,294.34,291.27,288.9,287.53,281.9
19301.0,311.84,305.09,299.9,294.4,291.27,288.9,287.53,281.9
19438.0,311.84,305.09,299.9,294.4,291.4,288.9,287.59,281.9
19575.0,311.84,305.09,299.84,294.4,291.4,288.84,287.59,281.84
19713.0,311.84,305.09,299.84,294.4,291.34,288.84,287.53,281.84
19850.0,311.84,305.09,299.9,294.4,291.34,288.84,287.53,281.84
