Date,01/02/2020,Material,Brass,3min6s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
12022,285.53,285.4,286.71,285.84,285.46,285.28,285.03,284.71
12160,285.53,285.46,286.71,285.84,285.46,285.28,285.03,284.71
12297,285.53,285.46,286.65,285.84,285.53,285.28,285.03,284.71
12434,285.53,285.46,286.65,285.84,285.53,285.28,285.03,284.78
12571,285.53,285.46,286.65,285.84,285.46,285.28,285.03,284.78
12708,285.53,285.4,286.65,285.78,285.46,285.28,285.03,284.65
12846,285.53,285.4,286.65,285.78,285.4,285.21,285.03,284.65
12984,285.53,285.4,286.65,285.78,285.4,285.21,285.03,284.71
13121,285.53,285.4,286.65,285.78,285.4,285.21,285.03,284.65
13258,285.53,285.4,286.65,285.78,285.4,285.21,285.09,284.65
13395,285.53,285.4,286.65,285.78,285.46,285.28,285.09,284.65
13533,285.53,285.4,286.65,285.78,285.46,285.28,285.03,284.65
13670,285.46,285.4,286.65,285.78,285.4,285.28,285.03,284.71
13808,285.46,285.4,286.59,285.78,285.4,285.21,285.03,284.71
13945,285.46,285.4,286.59,285.78,285.4,285.21,285.03,284.65
14083,285.46,285.4,286.59,285.78,285.4,285.21,285.03,284.65
14220,285.46,285.4,286.59,285.78,285.4,285.21,285.03,284.71
14357,285.46,285.4,286.53,285.71,285.4,285.28,285.03,284.71
14494,285.46,285.4,286.53,285.71,285.34,285.28,285.03,284.65
14631,285.46,285.34,286.59,285.71,285.34,285.21,285.03,284.65
14770,285.46,285.34,286.59,285.71,285.4,285.21,285.03,284.65
14907,285.46,285.34,286.59,285.71,285.4,285.21,285.03,284.71
15044,285.46,285.34,286.53,285.71,285.4,285.21,285.03,284.71
15181,285.46,285.34,286.53,285.71,285.4,285.21,284.96,284.65
15319,285.46,285.34,286.53,285.71,285.4,285.21,284.96,284.65
15456,285.53,285.34,286.53,285.71,285.4,285.21,285.03,284.65
15594,285.53,285.34,286.53,285.71,285.4,285.21,285.03,284.65
15731,285.65,285.34,286.53,285.71,285.34,285.21,285.03,284.65
15868,285.65,285.34,286.53,285.71,285.34,285.21,285.03,284.65
16006,285.71,285.34,286.53,285.71,285.4,285.21,285.03,284.65
16143,285.9,285.4,286.53,285.71,285.4,285.21,284.96,284.65
16280,285.9,285.4,286.53,285.71,285.4,285.21,284.96,284.65
16417,285.9,285.34,286.53,285.71,285.4,285.21,284.96,284.65
16556,285.9,285.34,286.53,285.71,285.4,285.21,284.96,284.65
16693,285.96,285.4,286.53,285.71,285.4,285.15,284.96,284.71
16830,285.96,285.34,286.46,285.71,285.34,285.15,284.96,284.71
16967,286.03,285.34,286.46,285.71,285.34,285.21,285.03,284.65
17104,286.03,285.4,286.46,285.71,285.4,285.21,285.03,284.65
17242,286.09,285.4,286.46,285.71,285.4,285.21,284.96,284.65
17379,286.09,285.4,286.46,285.71,285.34,285.21,284.96,284.65
17517,286.15,285.4,286.46,285.71,285.4,285.21,284.96,284.65
17654,286.15,285.34,286.46,285.71,285.4,285.21,284.96,284.65
17792,286.15,285.34,286.46,285.71,285.34,285.21,285.03,284.65
17929,286.28,285.34,286.46,285.71,285.34,285.21,285.03,284.65
18066,286.28,285.4,286.46,285.71,285.34,285.21,285.03,284.71
18203,286.34,285.4,286.46,285.65,285.34,285.28,285.03,284.71
18341,286.34,285.4,286.46,285.65,285.4,285.28,285.03,284.71
18479,286.4,285.4,286.46,285.65,285.4,285.21,285.03,284.71
18616,286.4,285.46,286.53,285.65,285.4,285.21,285.03,284.71
18753,286.46,285.46,286.53,285.71,285.4,285.28,285.03,284.71
18890,286.46,285.4,286.46,285.71,285.4,285.28,285.03,284.71
19027,286.53,285.4,286.53,285.71,285.4,285.28,285.03,284.65
19165,286.65,285.46,286.53,285.71,285.4,285.28,285.03,284.65
19303,286.65,285.46,286.46,285.71,285.4,285.21,285.09,284.78
19440,286.71,285.4,286.46,285.71,285.4,285.21,285.09,284.78
19577,286.71,285.4,286.53,285.71,285.4,285.28,285.03,284.71
19715,286.71,285.4,286.53,285.71,285.4,285.28,285.03,284.71
19852,286.71,285.46,286.46,285.71,285.4,285.21,285.03,284.71
19989,286.78,285.46,286.46,285.71,285.4,285.21,285.03,284.71
20127,286.78,285.46,286.46,285.71,285.4,285.21,285.03,284.71
20264,286.84,285.46,286.46,285.71,285.4,285.28,285.03,284.71
20402,286.84,285.46,286.46,285.71,285.46,285.28,285.03,284.71
20539,286.9,285.46,286.46,285.71,285.46,285.28,285.03,284.71
20676,287.03,285.4,286.46,285.71,285.34,285.28,285.03,284.71
20813,287.03,285.46,286.46,285.71,285.34,285.28,285.03,284.71
20951,287.15,285.46,286.46,285.71,285.4,285.28,285.03,284.71
21089,287.15,285.46,286.46,285.71,285.4,285.28,285.03,284.71
21226,287.15,285.46,286.46,285.71,285.4,285.28,285.03,284.71
21363,287.15,285.46,286.4,285.71,285.4,285.15,285.03,284.71
21500,287.21,285.46,286.4,285.71,285.4,285.15,285.03,284.71
21638,287.21,285.4,286.4,285.65,285.4,285.21,285.03,284.71
21775,287.28,285.4,286.4,285.65,285.34,285.21,285.03,284.71
21913,287.28,285.4,286.4,285.71,285.34,285.28,285.03,284.71
22050,287.34,285.46,286.4,285.71,285.4,285.28,285.03,284.71
22188,287.4,285.46,286.4,285.71,285.4,285.21,285.09,284.71
22325,287.4,285.46,286.4,285.71,285.34,285.21,285.03,284.71
22462,287.46,285.46,286.4,285.71,285.34,285.21,285.03,284.71
22599,287.46,285.46,286.4,285.71,285.4,285.21,285.03,284.71
22736,287.53,285.46,286.4,285.71,285.4,285.21,285.03,284.71
22875,287.53,285.46,286.4,285.71,285.4,285.28,285.03,284.71
23012,287.65,285.46,286.4,285.65,285.4,285.28,285.03,284.71
23149,287.65,285.4,286.4,285.65,285.4,285.28,285.03,284.71
23286,287.65,285.46,286.4,285.65,285.4,285.28,285.03,284.71
23424,287.65,285.46,286.4,285.65,285.4,285.21,285.03,284.71
23561,287.71,285.46,286.4,285.65,285.4,285.21,285.03,284.71
23698,287.84,285.46,286.4,285.65,285.4,285.28,285.09,284.71
23836,287.84,285.53,286.46,285.65,285.4,285.28,285.09,284.78
23973,287.9,285.53,286.46,285.65,285.4,285.28,285.09,284.78
24111,287.9,285.53,286.46,285.71,285.4,285.28,285.09,284.78
24248,287.96,285.53,286.46,285.71,285.4,285.28,285.09,284.78
24385,287.96,285.53,286.4,285.71,285.4,285.28,285.09,284.71
24522,288.03,285.53,286.4,285.71,285.4,285.28,285.09,284.71
24660,288.03,285.53,286.46,285.71,285.4,285.28,285.09,284.71
24798,288.15,285.53,286.4,285.71,285.4,285.28,285.09,284.71
24935,288.15,285.53,286.4,285.71,285.4,285.34,285.03,284.78
25072,288.21,285.53,286.4,285.71,285.4,285.34,285.03,284.78
25209,288.34,285.53,286.4,285.71,285.4,285.28,285.09,284.78
25347,288.34,285.53,286.4,285.71,285.4,285.28,285.09,284.71
25484,288.4,285.53,286.4,285.71,285.4,285.28,285.09,284.71
25622,288.4,285.59,286.4,285.71,285.4,285.28,285.09,284.78
25759,288.53,285.59,286.4,285.65,285.4,285.28,285.03,284.78
25896,288.53,285.53,286.4,285.65,285.4,285.28,285.03,284.78
26034,288.65,285.59,286.4,285.71,285.4,285.28,285.03,284.78
26171,288.65,285.59,286.4,285.71,285.4,285.28,285.03,284.71
26308,288.84,285.59,286.4,285.71,285.4,285.28,285.03,284.71
26446,288.84,285.59,286.4,285.71,285.4,285.28,285.03,284.71
26584,288.96,285.65,286.4,285.65,285.4,285.28,285.09,284.71
26721,289.15,285.65,286.4,285.65,285.4,285.28,285.09,284.78
26858,289.15,285.59,286.4,285.65,285.4,285.28,285.09,284.71
26995,289.34,285.59,286.4,285.65,285.34,285.28,285.09,284.71
27132,289.34,285.65,286.4,285.71,285.34,285.28,285.09,284.78
27271,289.52,285.65,286.4,285.71,285.4,285.28,285.09,284.78
27408,289.52,285.65,286.34,285.71,285.4,285.28,285.09,284.78
27545,289.71,285.65,286.34,285.71,285.46,285.34,285.03,284.78
27682,289.71,285.65,286.34,285.71,285.46,285.34,285.03,284.78
27820,289.77,285.65,286.4,285.71,285.46,285.28,285.09,284.78
27957,289.77,285.65,286.4,285.65,285.46,285.28,285.09,284.78
28094,289.96,285.65,286.4,285.65,285.4,285.28,285.09,284.78
28232,289.96,285.65,286.4,285.65,285.4,285.28,285.09,284.78
28369,290.21,285.65,286.4,285.65,285.4,285.28,285.09,284.78
28507,290.34,285.65,286.4,285.65,285.4,285.28,285.09,284.78
28644,290.34,285.65,286.4,285.65,285.4,285.28,285.09,284.78
28781,290.59,285.65,286.4,285.71,285.4,285.28,285.09,284.84
28918,290.59,285.65,286.34,285.71,285.4,285.28,285.09,284.71
29057,290.77,285.71,286.34,285.71,285.4,285.28,285.09,284.71
29194,290.77,285.71,286.4,285.71,285.4,285.28,285.09,284.71
29331,290.96,285.71,286.34,285.71,285.46,285.28,285.09,284.71
29468,290.96,285.71,286.34,285.71,285.46,285.34,285.09,284.78
29605,291.15,285.65,286.4,285.71,285.4,285.34,285.09,284.78
29743,291.15,285.65,286.4,285.71,285.4,285.28,285.09,284.78
29880,291.34,285.71,286.34,285.71,285.46,285.28,285.09,284.78
30018,291.52,285.71,286.34,285.71,285.46,285.28,285.15,284.78
30155,291.52,285.71,286.34,285.71,285.4,285.28,285.15,284.78
30292,291.71,285.78,286.34,285.71,285.4,285.28,285.09,284.78
30430,291.71,285.78,286.4,285.71,285.46,285.34,285.09,284.78
30567,291.9,285.71,286.4,285.71,285.46,285.34,285.09,284.78
30704,291.9,285.71,286.34,285.71,285.4,285.34,285.09,284.78
30842,292.09,285.65,286.34,285.71,285.4,285.34,285.09,284.78
30980,292.09,285.65,286.34,285.71,285.4,285.28,285.09,284.78
31117,292.21,285.71,286.4,285.71,285.4,285.28,285.09,284.78
31254,292.21,285.71,286.4,285.71,285.4,285.28,285.09,284.78
31391,292.4,285.78,286.34,285.71,285.4,285.28,285.09,284.78
31528,292.4,285.78,286.34,285.71,285.46,285.34,285.09,284.78
31667,292.52,285.78,286.34,285.65,285.4,285.34,285.09,284.78
31804,292.71,285.71,286.34,285.65,285.4,285.28,285.09,284.78
31941,292.71,285.71,286.34,285.65,285.4,285.28,285.09,284.78
32078,292.9,285.78,286.34,285.65,285.4,285.28,285.09,284.78
32216,292.9,285.78,286.34,285.71,285.46,285.28,285.09,284.78
32353,293.02,285.78,286.4,285.71,285.46,285.28,285.09,284.84
32490,293.02,285.78,286.4,285.71,285.4,285.28,285.09,284.84
32628,293.21,285.78,286.34,285.71,285.4,285.34,285.15,284.84
32765,293.21,285.78,286.34,285.71,285.46,285.34,285.15,284.78
32903,293.4,285.78,286.34,285.71,285.46,285.34,285.09,284.78
33040,293.4,285.78,286.34,285.71,285.4,285.34,285.09,284.78
33177,293.52,285.78,286.34,285.71,285.4,285.28,285.15,284.78
33314,293.52,285.78,286.34,285.71,285.46,285.28,285.09,284.84
33453,293.71,285.78,286.34,285.71,285.46,285.28,285.09,284.84
33590,293.9,285.84,286.34,285.71,285.4,285.34,285.09,284.78
33727,293.9,285.84,286.28,285.71,285.4,285.34,285.09,284.78
33864,294.09,285.78,286.28,285.78,285.4,285.34,285.09,284.78
34001,294.09,285.78,286.28,285.78,285.4,285.34,285.09,284.78
34139,294.27,285.84,286.28,285.71,285.4,285.34,285.15,284.78
34276,294.27,285.84,286.28,285.71,285.4,285.34,285.15,284.78
34414,294.46,285.84,286.34,285.71,285.4,285.34,285.09,284.84
34551,294.46,285.84,286.34,285.71,285.4,285.34,285.09,284.84
34689,294.59,285.84,286.28,285.65,285.4,285.34,285.09,284.78
34826,294.59,285.9,286.28,285.65,285.4,285.34,285.09,284.78
34963,294.77,285.9,286.28,285.71,285.4,285.34,285.09,284.78
35100,294.77,285.9,286.28,285.71,285.46,285.34,285.09,284.78
35238,295.02,285.9,286.28,285.71,285.46,285.28,285.09,284.78
35376,295.27,285.9,286.28,285.71,285.4,285.28,285.09,284.84
35513,295.27,285.9,286.28,285.71,285.4,285.28,285.09,284.84
35650,295.59,285.9,286.28,285.71,285.46,285.28,285.09,284.78
35787,295.59,285.9,286.28,285.71,285.46,285.34,285.09,284.78
35924,295.77,285.9,286.28,285.71,285.4,285.34,285.09,284.78
36062,295.77,285.96,286.28,285.71,285.4,285.34,285.09,284.78
36200,296.02,285.96,286.28,285.71,285.46,285.28,285.09,284.78
36337,296.02,285.96,286.28,285.65,285.46,285.28,285.09,284.78
36474,296.34,285.96,286.28,285.65,285.4,285.28,285.09,284.84
36612,296.34,285.96,286.28,285.65,285.4,285.28,285.09,284.84
36749,296.59,285.96,286.21,285.65,285.4,285.34,285.09,284.84
36886,296.59,286.03,286.21,285.71,285.4,285.34,285.09,284.84
37024,296.9,286.03,286.21,285.71,285.4,285.34,285.09,284.84
37161,297.21,286.03,286.28,285.65,285.4,285.34,285.09,284.84
37299,297.21,285.96,286.28,285.65,285.4,285.28,285.09,284.84
37436,297.52,285.96,286.28,285.65,285.4,285.28,285.09,284.84
37573,297.52,286.03,286.28,285.65,285.46,285.28,285.15,284.84
