time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0.0,355.2969551739103,335.24144832289664,321.0460486632084,310.33395009678907,302.55127706477634,295.9937357141381,293.15
1.37,346.3937741519835,329.75702578279936,316.89042464949995,307.32806256755197,299.9800383482943,294.92073438767846,293.23053479775393
2.75,341.5862158855597,330.03445981923494,317.11208489691506,307.47778362327665,300.12954282406514,295.1796521855778,293.1939338652465
4.12,335.7167491721249,330.0843261245004,317.40994514504575,307.6823028781026,300.3425125185671,295.4423017368117,292.8963005890357
5.49,330.24182325139554,329.643054124467,317.6914928992173,307.89718000193227,300.5641357844115,295.6387504659492,292.49450883874187
6.87,325.49438315162297,328.75376035479127,317.91827009717633,308.12143018006196,300.7871887868681,295.765773043016,292.08368362515233
8.24,321.5223289689393,327.56417643387203,318.0530937154237,308.3467191114457,301.0022373033328,295.83506642478017,291.70987944646816
9.61,318.17445518073714,326.19516523290554,318.07967283245296,308.5664278532383,301.2063991073387,295.864249634755,291.3816660251237
10.99,315.31369402960826,324.72974576113637,317.9942646768574,308.77234445418947,301.3981933575897,295.8673797227329,291.0971048683394
12.36,312.8813887610337,323.2525592264312,317.8059274475791,308.9523391871175,301.5731934064471,295.8550166425356,290.85606635890525
13.73,310.77623722095035,321.7929982902353,317.52760416228455,309.10072010829657,301.7318343907722,295.8345686072639,290.65103791294007
15.11,308.9243089935189,320.36476242501044,317.1713929177102,309.2132541661976,301.8743668837565,295.8106343114092,290.47571971587945
16.48,307.3045500269569,319.0019613953939,316.7571041783246,309.2856804002494,301.9981538502718,295.78648284223465,290.32805430365886
17.85,305.8654983627522,317.7006459609411,316.2955677062727,309.3182732769517,302.10385155273644,295.7635198650079,290.2027246708813
19.23,304.5689886775866,316.4543602874033,315.7944133624295,309.3116405662165,302.19173991977146,295.7422507245084,290.0956528013798
20.6,303.4103908452469,315.2808931477089,315.27050503987243,309.2677220716394,302.2604319115091,295.7230185522454,290.0054993897963
21.97,302.36107456493187,314.16914841279765,314.7281890383498,309.1891084480598,302.3107086975761,295.70530274429035,289.92895350516085
23.35,301.3991652295893,313.1089398428303,314.1697816668458,309.07775437630585,302.3430012780901,295.6883918544641,289.8634370001383
