time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6
0,374.27,304.09,289.34,287.46,285.71,287.78,288.84
1.37,343.5738461,298.5236518,288.6869364,286.7398323,286.602664,286.4990351,284.9137448
2.75,337.8887887,300.9338407,289.2195298,286.8353798,286.6429943,286.3541921,285.0750575
4.12,331.4223734,303.3046032,289.9050981,286.9925968,286.6432779,286.2490158,285.1893881
5.5,325.3681745,304.9252305,290.7036853,287.1839223,286.6383414,286.1726133,285.2609114
6.87,320.2224737,305.7820773,291.5505381,287.4055319,286.6398674,286.1177959,285.3041633
8.24,315.9320339,306.0582941,292.3825219,287.6597029,286.6527167,286.0779634,285.3306342
9.62,312.3506794,305.9260186,293.1514126,287.9456947,286.6798486,286.0492435,285.3470035
10.99,309.3942621,305.5275403,293.8150923,288.2521149,286.7224305,286.0299069,285.3570211
12.36,306.9165312,304.9644777,294.3674909,288.5713353,286.781154,286.0185643,285.3633076
13.74,304.8082274,304.3019517,294.8120165,288.8957642,286.8561923,286.0146515,285.3675264
15.11,303.0246711,303.5969867,295.1500293,289.2117825,286.9451618,286.0179659,285.3707845
16.48,301.491006,302.8760585,295.3963204,289.514624,287.0466092,286.0283075,285.3739947
17.86,300.1526641,302.1539864,295.5640778,289.8010641,287.1590369,286.0456711,285.3778795
19.23,298.9930979,301.4538582,295.662902,290.0634649,287.2782875,286.0695677,285.3829384
20.61,297.9666793,300.7731263,295.7054125,290.30364,287.4035702,286.0999949,285.3896892
21.98,297.0656169,300.1259134,295.7008113,290.5172851,287.5307189,286.1360513,285.3983681
23.35,296.2638682,299.5092294,295.6580554,290.7062842,287.6585299,286.1773818,285.4092516
24.73,295.5417619,298.9195249,295.5837257,290.8724317,287.7861061,286.2237133,285.4225879
26.1,294.8976497,298.3650338,295.4850268,291.0144217,287.9100716,286.2737019,285.4382429
27.47,294.3160792,297.8404821,295.366625,291.1349034,288.0301262,286.3269804,285.4562885
28.85,293.7851316,297.3411217,295.2317456,291.2360443,288.1461247,286.3832821,285.4768017
30.22,293.3055572,296.8727601,295.0858892,291.3179522,288.2556527,286.4411263,285.4993512
31.59,292.8675081,296.4301679,294.9310428,291.3829946,288.3590473,286.5002872,285.5239019
32.97,292.4632521,296.0088498,294.7684109,291.4330035,288.4566441,286.5606232,285.5504452
34.34,292.0944252,295.6134004,294.6023363,291.4687166,288.546826,286.6207268,285.5783662
35.72,291.7519909,295.2365732,294.4320383,291.4920454,288.6308271,286.680992,285.6078262
